Scopus - Analyze author output

"Author name:","Jain, Mahaveer K."
"Scopus author ID:","7402070740"

"Co-authors:","57"

"Co-author","Co-authored documents"

"Biju,KuyyadiP.","16"
"Grimes,CraigA.","14"
"Subrahmanyam,AryasomayajulaVB","13"
"Meher,S.R.","11"
"Mungle,CaseyS.","6"
"Ong,Keatghee","6"
"Sahoo,GuruprasadC.","5"
"Vyas,HanumanPrasad","4"
"Sharma,GanpatLal","4"
"Muralidharan,Rangarajan","4"
"Bhatnagar,MukeshChander","4"
"Schmidt,Stefan","4"
"Verger,Arnaud","3"
"Cai,Qingyun","3"
"Bhat,K.Mahadeva","3"
"Kasiviswanathan,Subbiah","3"
"Rangasami,C.","3"
"MuniswamiNaidu,R.V.","2"
"Jha,ShambhuNath","2"
"Paulose,Maggie","2"
"Naidu,R.VMuniswami","2"
"Pathak,SaptarshiS.","2"
"Sridhar,ChSLN","2"
"Badnikar,S.L.","2"
"Saravanan,GenganSai","2"
"Phase,DeodattaM.","2"
"Dickey,ElizabethC.","1"
"Takahata,Kenichi","1"
"Bitler,J.Samuel","1"
"Rao,S.VNBhaskara","1"
"Wadikar,AvinashD.","1"
"Murali,DhanyaS.","1"
"MahadevaBhat,K.","1"
"Kumar,ShailendraChaitanya","1"
"Saravanan,G.Sha","1"
"Malar,PiraviP.","1"
"Varghese,OommanK.","1"
"SaiSaravanan,G.","1"
"Loiselle,KeithT.","1"
"Choudhary,R.J.","1"
"Gianchandani,YogeshB.","1"
"Zeng,Kefeng","1"
"Singh,R.S.","1"
"Andrews,RodneyJ.","1"
"Nanda,B.RK","1"
"Kichambare,PadmakarD.","1"
"BhaskaraRao,S.VN","1"
"Bhaskar,SrilakshmiP.","1"
"Osipowicz,Thomas","1"
"Qian,Dali","1"
"Gong,Dawei","1"
"Mason,AndrewJ.","1"
"Jacques,DavidF.","1"
"Mandal,SaptarshiK.","1"
"Dreschel,WilliamR.","1"
"Dhamodaran,S.","1"
"Kashikar,Ravi","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
