Scopus - Analyze author output

"Author name:","Khuntia, Panchanana"
"Scopus author ID:","35092608200"

"Co-authors:","95"

"Co-author","Co-authored documents"

"Baenitz,Michael","20"
"Mahajan,AvinashV.","12"
"Steglich,Frank","7"
"Dey,TusharkantiKanti","6"
"Strydom,AndréMichael","5"
"Kumar,RajeshRam","4"
"Koteswararao,Bommisetti","4"
"Sarkar,RajibL.","4"
"Lascialfari,Alessandro","3"
"Geibel,Christoph","3"
"Chou,Fangcheng","3"
"Krellner,Cornelius","3"
"Andruh,Marius","3"
"Sheptyakov,DenisV.","2"
"Maxim,Catalin","2"
"Sorace,Lorenzo","2"
"Aronson,MeiganC.","2"
"Freeman,P.G.","2"
"Mariani,Manuel","2"
"Rønnow,HenrikMoodyssonR","2"
"Peratheepan,P.","2"
"Wu,Liusuo","2"
"Borsa,Ferdinando","2"
"Nath,RameshChandra","2"
"Kreiner,Guido","1"
"Guduru,VeerendraK.","1"
"Kerkau,Alexander","1"
"Ghoshray,Kajal","1"
"Förster,Tobias","1"
"Zeitler,Uli","1"
"Puri,Alessandro","1"
"Bhowal,Sayantika","1"
"Pasatoiu,TraianD.","1"
"Yamada,Yoshihiro","1"
"Jeong,Minki","1"
"Chadov,Stanislav","1"
"Hossain,ZakirM.","1"
"Kravtsov,VictorChH","1"
"Rajarajan,AnakotK.","1"
"Baines,Christopher","1"
"Caneschi,AndreaAndrea","1"
"Dasgupta,Indra","1"
"Förster,Thilo","1"
"Anupam","1"
"Furukawa,Y.","1"
"Klauß,HansHenning","1"
"Tsirlin,AlexanderA.","1"
"Panda,SwarupK.","1"
"Furukawa,Yuji","1"
"Amato,Alex","1"
"Poddar,Asok","1"
"Spehling,Johannes","1"
"Li,Jing","1"
"Shekhar,Chandra","1"
"Journaux,Yves","1"
"Mǎdǎlan,AugustinM.","1"
"Kumar,NiteshYPhani","1"
"Rosner,Helge","1"
"Todorova,Adriana","1"
"Brando,Manuel","1"
"Rahman,MohammadRosdzimimAbdul","1"
"Bert,Fabrice","1"
"Sundaresan,Athinarayanan","1"
"Mazumdar,Chandan","1"
"Ghoshray,Amitabha","1"
"Matar,SamirF.","1"
"Skourski,Yurii","1"
"Schappacher,FalkoM.","1"
"Ko,Kyung-Tae","1"
"Burkhard,Ulrich","1"
"Rolfs,Katharina","1"
"Nicklas,Michael","1"
"Sharma,ShilpamK.","1"
"Tsuei,Kuding","1"
"Gegenwart,Philipp","1"
"Rousochatzakis,Ioannis","1"
"Utsumi,Y.","1"
"Felser,Claudia","1"
"Padmanabhan,Moothetty","1"
"Kim,Keehoon","1"
"Chevalier,Bernard","1"
"Jeevan,HiraleS.","1"
"Tjeng,LiuHao","1"
"Skourski,YuV.","1"
"Mydosh,JohnA.","1"
"Coey,JMD","1"
"Orsini,F.","1"
"Janson,Oleg","1"
"Mozzati,MariaCristina","1"
"Mendels,Philippe","1"
"Majumder,Mayukh","1"
"Nayak,AjayaK.","1"
"Bharathi,ArvindKrishnasamy","1"
"Pöttgen,RainerP.","1"
"Kalache,Adel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
