Scopus - Analyze author output

"Author name:","Krishnamurthy, Chittivenkata V."
"Scopus author ID:","6601928690"

"Co-authors:","93"

"Co-author","Co-authored documents"

"Balasubramaniam,KrishnanS.","92"
"Ramadas,C.","11"
"Joshi,MakarandG.","10"
"Vishnuvardhan,J.","8"
"Satyanarayan,L.","7"
"Muralidharan,Ajith","7"
"Biju,N.","6"
"Ganesan,Narayan","5"
"Nath,SudiptaK.","5"
"Murti,Y.VGS","5"
"Baskaran,Ganesan","5"
"Narayana,B.H.","5"
"SomaSekhar,B.V.","4"
"Rajagopalan,Jagannathan","3"
"Rajagopal,Prabhu","3"
"Raj,Baldev","3"
"Sridharan,C.","3"
"Jayakumar,TammanaK.","3"
"Maxfield,BruceW.","3"
"Ganesan,Natrajan","3"
"Gantala,Gopal","3"
"Arunachalam,Kavitha","2"
"Dhayalan,R.","2"
"Shankar,M.","2"
"Vardhan,J.Vishnu","2"
"LakshmanaRao,C.","2"
"Alavudeen,S.","2"
"Kumar,PredeepPadma","2"
"Mohan,KamalV.","2"
"Unnikrishnakurup,Sreedhar","2"
"Padiyar,Janardhan","2"
"Vageswar,A.","2"
"Padiyar,M.Janardhan","1"
"Sridhar,ChetlurS.","1"
"PadmaKumar,P.","1"
"Maddu,Shankar","1"
"Jayaraman,Chandrasekaran","1"
"Ram,BabuC.","1"
"Lei,Naiguang","1"
"Karthikeyan,Soumya","1"
"Pukazhendhi,D.M.","1"
"Satyarnarayan,L.","1"
"Sharma,GovindKumar","1"
"Reyes-Rodríguez,Solimar","1"
"Udpa,Lalita","1"
"Krishnan,BalasubramaniamP.","1"
"JanardhanPadiyar,M.","1"
"Rao,C.Lakshmana","1"
"SivaShashidharaReddy,S.","1"
"Puthillath,PadmaK.","1"
"Reghu,Manoj","1"
"Roy,PallabKantiAnti","1"
"Raghupathy,V.D.","1"
"Kannajosyula,SuryaPrakash","1"
"Swamy,Gokul","1"
"Shivaraj,K.","1"
"Vepakomma,Rajesh","1"
"Balasubramanian,ThailampillaiPillai","1"
"Nahas,C.A.","1"
"Prasad,SharadMahadevS","1"
"Rajesh,V.","1"
"Nayak,KetanA.","1"
"Bardel,Charles","1"
"Shivaprasad,SonnadaMath","1"
"Hood,Avinash","1"
"Libin,M.N.","1"
"Krishnamurthy,Adarsh","1"
"Padma,KumarP.","1"
"Janapati,VishuVardhan","1"
"Chillara,VamshiKrishna","1"
"Raghava,G.","1"
"Wadhwan,R.","1"
"Kumar,Anish","1"
"VishnuVardan,J.","1"
"BharathKumaran,K.","1"
"Reddy,SudhanVBhaskara","1"
"Murthy,D.SRamachandra","1"
"Kumar,ChNKiran","1"
"Rajkumar,KesavanVadivelu","1"
"Udpa,SatishS.","1"
"Engelbart,RogerW.","1"
"Somasekhar,B.V.","1"
"Pugazhendhi,D.M.","1"
"Madhu,GattumaneMotappa","1"
"SatyaNarayanaMurthy,V.","1"
"Ravisankar,S.","1"
"Gandhi,PravinrayD.","1"
"Rangarajan,Ramsharan","1"
"Chandrasekaran,Jayaraman","1"
"Sukumaran,GauthamK.","1"
"Shankar,MeenakshisundaramRavi","1"
"Patnaik,PragyanPrasu","1"
"Reddy,K.Sanjeeva","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
