Scopus - Analyze author output

"Author name:","Kumar, Nitish Harish"
"Scopus author ID:","56747029500"

"Co-authors:","73"

"Co-author","Co-authored documents"

"Cann,DavidP.","13"
"Kundu,Ananya","4"
"Pradhan,SubrataS.","4"
"Panchal,ArunG.","3"
"Ghate,Mahesh","3"
"Basu,Bikramjit","3"
"Bongkarn,Theerachai","2"
"Babu,PeramDelli","2"
"Patterson,EricA.","2"
"Raj,Piyush","2"
"Kanabar,Deven","2"
"Roy,Swati","2"
"Bhavsar,Dhaval","2"
"Ansell,TroyY.","2"
"Watcharapasorn,Anucha","2"
"Jaita,Pharatree","2"
"Jiansirisomboon,Sukanda","2"
"Malik,SatishK.","2"
"Frömling,Till","2"
"MadhavReddy,K.","2"
"Sumang,Rattiphorn","2"
"Bhope,Kedar","1"
"Bose,PinakiJ.","1"
"Brown-Shaklee,HarlanJames","1"
"Sathyamoorthy,A.","1"
"Green,DavidJ.","1"
"Venkatesh,Shalini","1"
"Brennecka,GeoffL.","1"
"Hackenberger,WesleyS.","1"
"Yanmaz,Ekrem","1"
"Reaney,IanMichael","1"
"Raengthon,Natthaphon","1"
"Patel,DipakJ.","1"
"Kumar,KapilRamesh","1"
"Bose,Animesh","1"
"Patel,Madhu","1"
"Prathiba,G.","1"
"Golledge,StephenL.","1"
"Raj,PushkarAjaydVimal","1"
"Venkateswarlu,Buchepalli","1"
"Kim,JungHo","1"
"Yasin,SkMohammad","1"
"Kashyap,BhagwatiPrasad","1"
"Jain,Divya","1"
"Choudhury,PrithaR.","1"
"Qiu,Wenbin","1"
"Venkateswarlu,B.","1"
"Beuerlein,MichaelaA.","1"
"Jie,Hyunseock","1"
"Ionin,Aleksey","1"
"Shashikala,K.","1"
"Shahabuddin,Mohammed","1"
"Ma,Zongqing","1"
"Brahmbhatt,Priyanka","1"
"VenkateswaraRao,C.R.","1"
"Markandeyulu,G.M.","1"
"Kwon,Seongtae","1"
"Bose,Shree","1"
"Mandlik,P.","1"
"Das,SubratKumar","1"
"Nino,JuanClaudio","1"
"Midhunlal,P.V.","1"
"Hossain,MdShahriarAl","1"
"Nirmala,R.","1"
"Bano,Anees","1"
"Pradhan,Subrata","1"
"Toppo,S.P.","1"
"Jones,JacobL.","1"
"Usher,TediMarie","1"
"Verma,Samiksha","1"
"Udgata,SwarupSwarup","1"
"Radhika,K.","1"
"Chelvane,JeyaramaneArout","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
