Scopus - Analyze author output

"Author name:","Lakshmibala, S."
"Scopus author ID:","6602283358"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Balakrishnan,V.","19"
"Sudheesh,C.","8"
"Seshadri,S.","5"
"Sriram,M.S.","5"
"Rajasekaran,G.","4"
"Mukku,Chandrasekher","4"
"Bambah,BinduA.","4"
"Rindani,SaurabhD.","3"
"George,LijoT.","2"
"VanDenBroeck,C.","1"
"Laha,Pradip","1"
"Sudarsan,B.","1"
"Shankar,Athreya","1"
"Revathi,S.","1"
"Segar,J.","1"
"Murthy,KeshavaPN","1"
"Satyanarayana,MandavilliVenkata","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
