Scopus - Analyze author output

"Author name:","Lakshminarayan, Arul"
"Scopus author ID:","6701375926"

"Co-authors:","40"

"Co-author","Co-authored documents"

"Tomsovic,Steven","11"
"Sheorey,VijayB.","9"
"Santhanam,ManuS.","5"
"Bandyopadhyay,JayendraN.","5"
"Balázs,NandorL.","5"
"Cerruti,NicholasR.","4"
"Srivastava,ShashiCL","4"
"Bhosale,UdaysinhT.","4"
"Subrahmanyam,VedamR.","4"
"Sankaranarayanan,R.","3"
"Shuddhodan,K.V.","2"
"Sukhatme,UdayP.","2"
"Majumdar,SatyaN.","2"
"Ramkarthik,M.S.","2"
"Bohigas,Oriol","2"
"Mishra,SunilKumar","2"
"Meenakshisundaram,N.","2"
"Khare,AvinashV.","2"
"Bäcker,Arnd","2"
"Sharma,AudityaK.","2"
"Chandra,VinodRavi","1"
"Ketzmerick,Roland","1"
"Santhosh,G.","1"
"Gupte,Neelima","1"
"Elton,JohnR.","1"
"Hameed,Sajna","1"
"Ramaswamy,Ramakrishna","1"
"Karthik,J.","1"
"Jain,Kavita","1"
"Kannawadi,Arun","1"
"Jain,SudhirR.","1"
"Maity,Krishnendu","1"
"Ketzmerick,Roland","1"
"Bera,Soumya","1"
"Lefebvre,JulieH.","1"
"Zyczkowski,Karol","1"
"Puchała,Zbigniew","1"
"Sreenath,Venkata","1"
"Vijayaraghavan,VikramS.","1"
"Narayanan,RajeshS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
