Scopus - Analyze author output

"Author name:","Libby, Jim"
"Scopus author ID:","55820982400"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Eigen,GeraldP.","252"
"Margoni,MartinoM.","251"
"Stugu,Bjarne","250"
"Franěk,B.","250"
"Contri,R.","250"
"Adye,TimothyJ.","250"
"Gamba,D.","249"
"Simonetto,F.","249"
"DellaRicca,Giuseppe","249"
"Vitale,LorenzoG.","249"
"Monge,M.R.","248"
"Lepeltìer,Vincent","247"
"Rosenberg,EliI.","247"
"Crawley,HughBert","247"
"Cossutti,Fabio","244"
"Mohanty,GaganB.","241"
"Grosdidier,Gilbert","240"
"Martínez-Vidal,Fernando","235"
"Yi,J.I.","227"
"Won,Eunil","215"
"Gopal,G.P.","211"
"Bianchi,Fabrizio","208"
"Kim,H.J.","199"
"Golob,Boštjan","199"
"Stocchi,Achille","196"
"Bhuyan,Bipul","196"
"Allmendinger,Thomas","193"
"Lanceri,LIVIO","186"
"Ryd,Anders","186"
"Zhang,Liming","185"
"Poropat,Paolo","180"
"Asner,DavidM.","175"
"DeLaVaissière,Ch","175"
"Roos,L.","172"
"Winter,MarcA.","172"
"Sciolla,Gabriella","171"
"Wilkinson,GregR.","171"
"Lämsä,JerryW.","170"
"Battaglia,Marco","168"
"Crosetti,Giovanni","167"
"Chen,Allen","165"
"Ricciardi,Stefania","164"
"Morton,G.W.","159"
"Zito,Marco","158"
"Pedlar,ToddK.","157"
"Behera,PrafullaKumar","157"
"Spradlin,Patrick","157"
"Barate,ROBERT","153"
"LiGioi,Luigi","151"
"Borgland,AWW.","145"
"Tomaradze,Amiran","145"
"Bozzi,Concezio","144"
"Schune,MarieHélène","143"
"Stanič,Samo","143"
"Barlow,RogerJohn","143"
"Latham,ThomasE.","143"
"John,MalcolmJJ","143"
"Lees,JeanPierre","143"
"Chauveau,JacquesP.","143"
"Mancinelli,Giampiero","143"
"Egede,Ulrik","143"
"Harrison,PaulF.","142"
"Muheim,Franz","142"
"Raven,Gerhard","142"
"Emery,Sandrine","142"
"Faccini,Riccardo","141"
"Verderi,Marc","141"
"Ocariz,José","141"
"Cinabro,DavidA.","141"
"Playfer,StephenM.","141"
"Patrignani,Claudia","141"
"Ferroni,Fernando","141"
"Tisserand,Vincent","141"
"Wilson,FergusF.","141"
"Müller,DavidR.","141"
"Spaan,Bernhard","141"
"Vasseur,Georges","141"
"Clark,P.J.","141"
"Sokoloff,MichaelD.","141"
"Ratcliff,BlairN.","141"
"DiLodovico,FrancescaDi","141"
"Convery,M.R.","141"
"Calderini,Giovanni","140"
"Lusiani,Alberto","140"
"Schwiening,Jochen","140"
"Meadows,BrianT.","140"
"Brown,DuncanN.","140"
"Bevan,AdrianJohn","140"
"Roney,J.Michael","140"
"Purohit,MilindV.","140"
"Prell,SörenA.","140"
"Wilson,RobertJ.","140"
"Bračko,Marko","140"
"Lüth,VeraG.","140"
"Bonneaud,G.R.","140"
"Benayoun,Maurice","140"
"Blanc,F.","140"
"Walsh,JohnJ.","140"
"Sciacca,C.","140"
"Bettarini,S.","140"
"Cowan,GlenD.","140"
"Jawahery,Abolhassan","139"
"Watson,A.T.","139"
"Dallapiccola,C.","139"
"Biasini,Maurizio","139"
"Wormser,Guy","139"
"Piccolo,Davide","139"
"Sharma,VijayS.","139"
"Davier,Michel","139"
"Wu,Saulan","139"
"Legendre,M.","139"
"Grenier,PhilippeA.","139"
"Bona,Marcella","139"
"Staengle,H.","139"
"Torrence,E.D.","139"
"Kozanecki,W.A.","139"
"Morii,Mikio","139"
"Dasu,Sridhara","139"
"Rizzo,Giuliana","139"
"Lutz,A.M.","139"
"Spanier,StefanM.","139"
"Pierini,Maurizio","139"
"Hawkes,ChrisM.","139"
"Gary,J.William","139"
"Gaidot,Aline","139"
"Lou,Xinchou","139"
"Thiebaux,Ch","139"
"Leith,DavidWGS","139"
"Coleman,JulianP.","139"
"Shen,BenjaminC.","139"
"Nash,JordanA.","139"
"Robertson,StevenH.","139"
"Va'vra,Jaroslav","139"
"Hartfiel,B.L.","139"
"Saremi,Sepehr","139"
"Pripstein,Morris","139"
"Peruzzi,IdaM.","139"
"Band,HenryR.","139"
"Lísta,Luca","139"
"Wisniewski,WilliamJ.","139"
"Kyberd,Paul","139"
"Izen,J.M.","139"
"Jacobsen,RobertG.","139"
"Piccolo,Marcello","139"
"Bosisio,Luciano","139"
"Seiden,AbrahamM.","139"
"McKenna,J.A.","139"
"Taras,Paul","139"
"Rotondo,Michael","139"
"Cowan,RayF.","139"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
