Scopus - Analyze author output

"Author name:","Markandeyulu, G. M."
"Scopus author ID:","6701779459"

"Co-authors:","117"

"Co-author","Co-authored documents"

"RamaRao,KulchimanchiVS","27"
"Venkatesh,Shalini","11"
"Shah,VichikshaR.","9"
"McHenry,MichaelEdward","9"
"Chelvane,JeyaramaneArout","9"
"Huang,Meiqing","8"
"AroutChelvane,J.","8"
"Jammalamadaka,S.Narayana","7"
"Sirisha,K.","7"
"Dwevedi,Sandhya","6"
"Murty,VsSN","6"
"HarishKumar,N.","6"
"KamalaBharathi,K.","6"
"Balasubramaniam,KrishnanS.","5"
"Subrahmanyam,AryasomayajulaVB","5"
"Kishore,Sangeeta","5"
"Bharathi,KamalaKamala","5"
"Ramana,ChintalapalleChintalapalle","5"
"Pandian,ShanthiSelvasekara","5"
"Kotagiri,Ganesh","4"
"Ravi","4"
"Malik,SatishK.","4"
"Nirmala,R.","4"
"Babu,V.Hari","4"
"Chandrasekaran,Venkatasubramanian","3"
"Sreenivasulu,Gollapudi","3"
"Rao,KodukulaVSeshagiriRama","3"
"Palit,Mithun","3"
"PrasadRao,K.","3"
"Srilatha,R.","3"
"Ingersoll,J.C.","3"
"Kasiviswanathan,Subbiah","3"
"Annapoorni,S.","3"
"Ravi,R.","3"
"Ugendar,Kodam","3"
"Suresh,KrishnaGopinatha","3"
"HariBabu,V.","3"
"Harris.,VincentG.","3"
"Murthy,VaishnavSatyaNarayana","3"
"Dhilsha,K.R.","2"
"Huang,Qingzhen","2"
"Murty,BudarajuSrinivasa","2"
"Elankumaran,K.","2"
"Varadaraju,UpadhayayulaV.","2"
"Mondal,RajibA.","2"
"Venkatesan,Munuswamy","2"
"Balamuralikrishnan,R.","2"
"Chandrasekharan,V.","2"
"Iyer,KudliJatavallabhaLakshminarayana","2"
"RameshKumar,K.","2"
"Santhosh,PadmamN.","2"
"Na,R.","2"
"Talari,MaheshKumar","2"
"Fueß,Hartmut","1"
"Sarkar,TapobrataP.","1"
"Sampathkumaran,EchurVaradadesikan","1"
"Balasubrahmaniyam,M.","1"
"RamaRao,K.YS","1"
"Gopalakrishnan,KarthikV.","1"
"Neu,Volker","1"
"Babu,PeramDelli","1"
"Vijayaraghavan,RajagopalanR.","1"
"NarayanaJammalamadaka,S.","1"
"Tamhane,A.S.","1"
"Ramanan,V.RV","1"
"Chelvane,AroutJ.","1"
"Krishnan,BalasubramaniamP.","1"
"Schmidt,PeterC.","1"
"Rajarajan,AnakotK.","1"
"DeepakKumar,K.","1"
"Vaithyanathan,V.","1"
"Das,Niranjan","1"
"Das,TaraPrasad","1"
"Rajasekhar,P.","1"
"Rao,M.V.","1"
"Kannan,Elankumaran","1"
"Venkatesan,Nandakumar","1"
"Ohodnicki,PaulR.","1"
"Rao,K.Prasad","1"
"Gnanasekar,KovilpillaiImmanuel","1"
"Balamurugan,Karuppannan","1"
"Misra,DeepankarS.","1"
"ManivelRaja,Muthuvel","1"
"Pinto,Richard","1"
"SavithaPillai,S.","1"
"Leary,AlexM.","1"
"AnoopBaby,K.B.","1"
"Tuna,Floriana","1"
"Gupta,LaxmiC.","1"
"Kumar,NitishHarish","1"
"Pattabiraman,M.","1"
"RamchandraKiran,R.","1"
"Fernandes,W.A.","1"
"Abhilash,T.S.","1"
"Rao,Kalvalaprasad","1"
"SubrahmanyeswaraRao,B.VP","1"
"Malik,SudhirKR","1"
"NarayanaMurthy,V.Satya","1"
"Singh,AmitK.","1"
"Singh,AseemK.","1"
"Reddy,VarimallaRaghavendra","1"
"Thulasiram,K.V.","1"
"Chunchu,Venkatarao","1"
"Majumder,Abhishek","1"
"JohnThomas,P.","1"
"Rangarajan,Govindan","1"
"Doble,Mukesh","1"
"SatyaNarayanaMurthy,V.","1"
"Rao,K.VSRama","1"
"Tribedi,LokeshC.","1"
"Rajeswari,Janarthanan","1"
"Gopalan,Raghavan","1"
"Chunchu,Venkatrao","1"
"Kumar,RameshK.","1"
"Ehrenberg,Helmut","1"
"Ramarao,S.D.","1"
"Inbanathan,S.StephenRajkumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
