Scopus - Analyze author output

"Author name:","Mishra, Chandra Kant"
"Scopus author ID:","36195865100"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Iyer,BalaR.","33"
"Arun,K.G.","32"
"Favata,Marc","25"
"Sassolas,Benoît","24"
"Punturo,Michele","24"
"Chincarini,Andrea","24"
"Passaquieti,Roberto","24"
"Sintes,AliciaM.","24"
"Cuoco,Elena","24"
"Sorazu,Borja","24"
"Marion,Frédérique","24"
"Rocchi,Alessandro","24"
"Gossan,SarahE.","24"
"Vahlbruch,Henning","24"
"Márka,Szabolcs","24"
"Abernathy,MatthewR.","24"
"Pasqualetti,Antonio","24"
"Mandic,VukM.","24"
"Jones,DavidIan","24"
"Lorenzini,Matteo","24"
"Pinard,Laurent","24"
"Bizouard,MarieAnne","24"
"Husa,Sascha","24"
"Majorana,E.","24"
"Gouaty,Romain","24"
"Khalili,FaridYa","24"
"Gair,JonathanR.","24"
"Bülten,H.J.","24"
"Frasconi,Franco","24"
"Calloni,E.","24"
"Berry,ChristopherPL","24"
"Genin,Eric","24"
"VanDenBroeck,ChrisVD","24"
"Nielsen,AlexB.","24"
"Ajith,ParameswaranM.","24"
"Ferrini,Federico","24"
"Giazotto,Adalberto","24"
"Palomba,Cristiano","24"
"Losurdo,Giovanni","24"
"Puppo,Paola","24"
"Schütz,BERNARDF.","24"
"Vyatchanin,SergeyP.","24"
"Haughian,Karen","24"
"Veitch,John","24"
"Scott,J.","24"
"Schnabel,Roman","24"
"Huttner,SabinaH.","24"
"Pai,Archana","24"
"Bassiri,Riccardo","24"
"Bulik,Tomasz","24"
"Huet,Dominique","24"
"Graef,C.","24"
"Fidecaro,Francesco","24"
"Hendry,MartinA.","24"
"Freise,A.","24"
"Granata,Massimo","24"
"Willke,Benno","24"
"Ghosh,Archisman","24"
"Heng,Iksiong","24"
"Barsuglia,Matteo","24"
"Mours,Benoĩt","24"
"Daw,EdwardJ.","24"
"Danilishin,StefanL.","24"
"Dent,Thomas","24"
"Colla,Alberto","24"
"Vecchio,Alberto","24"
"Woan,Graham","24"
"Moore,BlakeC.","24"
"Minenkov,YuF.","24"
"Edwards,MatthewC.","24"
"Hild,Stefan","24"
"Viceré,Andrea","24"
"Passuello,Diego","24"
"Strigin,SergeyE.","24"
"Fulda,PaulJ.","24"
"Tarabrin,SergeyP.","24"
"Gennai,Alberto","24"
"Cella,GiancarloC.","24"
"Rüdiger,Albrecht","24"
"Bradaschia,Carlo","24"
"Strain,KennethA.","24"
"Guidi,G.M.","24"
"Astone,Pia","24"
"Régimbau,Tania","24"
"Gemme,Gianluca","24"
"Cunningham,Liam","24"
"Bond,Charlotte","24"
"Malvezzi,Valeria","24"
"Chassande-Mottin,Éric","24"
"Piergiovanni,F.","24"
"Nguyen,ThanhTuH","23"
"Sentenac,Daniel","23"
"Moreno,G.","23"
"Kalogera,VassilikiB.","23"
"Ingram,DaleR.","23"
"Vorvick,Cheryl","23"
"Carbognani,Franco","23"
"Inta,R.","23"
"Goetz,Evan","23"
"Wipf,ChristopherC.","23"
"Katsavounidis,Erik","23"
"Dhurandhar,SanjeevV.","23"
"Shaltev,Miroslav","23"
"Lasky,PaulD.","23"
"Leroy,Nicolas","23"
"Collette,ChristopheG.","23"
"Tokmakov,KirillV.","23"
"Bavigadda,Viswanath","23"
"Verkindt,Didier","23"
"Bitossi,Massimiliano","23"
"Nocera,Flavio","23"
"Degallaix,Jérôme","23"
"Thomas,PascalA.","23"
"Caride,SebastiánGraf","23"
"Ohme,Frank","23"
"Lynch,RyanS.","23"
"McWilliams,SeanT.","23"
"Ciani,Giacomo","23"
"Heidmann,Antoine","23"
"Fritschel,PeterK.","23"
"Mendell,Gregory","23"
"Chiummo,Antonino","23"
"Lackey,BenjaminD.","23"
"Caudill,SarahE.","23"
"Donovan,F.","23"
"Kanner,JonahB.","23"
"MacHenschalk,Bernd","23"
"Doravari,Suresh","23"
"Heintze,MatthewC.","23"
"Drever,RonaldWP","23"
"Deléglise,Samuel","23"
"Grunewald,S.","23"
"Libson,Adam","23"
"Worden,J.B.","23"
"Williamson,AlexanderR.","23"
"Miao,H.","23"
"Robinet,Florent","23"
"Theeg,Thomas","23"
"Ugolini,DennisW.","23"
"Cesarini,Elisabetta","23"
"Lundgren,AndrewP.","23"
"Rakhmanov,MalikD.","23"
"Markosyan,AshotS.","23"
"Grant,AlanT.","23"
"Poggiani,Rosa","23"
"Drago,Marco","23"
"Mirshekari,Saeed","23"
"Radkins,Hugh","23"
"Briant,Tristan","23"
"Fehrmann,Henning","23"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
