Scopus - Analyze author output

"Author name:","Murthy, Vemori R K"
"Scopus author ID:","35847241200"

"Co-authors:","66"

"Co-author","Co-authored documents"

"Sobhanadri,Jandhyala","24"
"Subramanian,Venkatachalam","21"
"Viswanathan,Balasubramanian","20"
"Sivasubramanian,Venkatasubramanian","19"
"Madhurima,Vinjanampaty","7"
"Vimala,T.M.","6"
"Pragasam,R.","6"
"Raman,Raja","6"
"Joseph,JohnT.","6"
"Usha,N.","5"
"Dias,E.D.","5"
"Raju,KanakkappillavilaChinnayyaJames","4"
"PrasadaRao,TetaliAnanda","4"
"Nagesh,E.DV","4"
"Rout,Dibyranjan","3"
"Vedantam,R.R.","3"
"Janaswamy,Srinivas","3"
"Hariharan,Krishnaswamy","3"
"Hegde,ManjanathSubraya","2"
"Babu,GundaSantosh","2"
"Sinha,AlokaPB","2"
"Murthy,G.Sreenivasa","2"
"Da̧browski,RomanS.","2"
"Murthy,DevataVB","2"
"Raman,N.S.","2"
"Moni,M.S.","1"
"PavanKumar,V.S.","1"
"Sivasubramaniam,V.","1"
"Venkatesh,Janakiraman","1"
"Sivakumar,K.V.","1"
"Srinivasan,ChockalingamV.","1"
"ChitraSankar,S.","1"
"Subrahmanyan,A.","1"
"SreenivasaMurthy,G.","1"
"Shripathi,Thoudinja","1"
"Rajagopal,E.","1"
"Rao,SubbaT.","1"
"Bhat,SubrayVenkataprasad","1"
"Vishwanathan,BalasubramanayaIyer","1"
"Reddy,NagireddyRamamanohar","1"
"Rao,M.V.","1"
"Natarajan,TirupatturSrinivasan","1"
"Murugavel,P.","1"
"Satheesh,V.K.","1"
"Rajagopal,KrishnamurthyK.","1"
"Murthy,SatyanarayanaSridharaN","1"
"Sathyan,N.","1"
"Natarjan,T.S.","1"
"Patankar,KetakiK.","1"
"RamamanoharReddy,N.","1"
"Santhamurthy,ArathiRani","1"
"Sundaray,Bibekananda","1"
"Rastogi,AmitK.","1"
"Satyalakshmi,KayyarM.","1"
"Babu,VeluruJagadeesh","1"
"Manjula,R.","1"
"Rao,T.APrasada","1"
"Raju,James","1"
"SantoshBabu,Gunda","1"
"Ramana,MaramVenkata","1"
"Sieskind,Manuel","1"
"SivaKumar,KoppalaV.","1"
"Reddy,KothakotaViswanatha","1"
"RamaRao,M.V.","1"
"Krishnaveni,K.","1"
"Dias","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
