Scopus - Analyze author output

"Author name:","Murthy, Vemuri Rama Krishna"
"Scopus author ID:","35838864500"

"Co-authors:","114"

"Co-author","Co-authored documents"

"SivaKumar,KoppalaV.","12"
"Sastry,SreehariSreehari","11"
"RamamanoharReddy,N.","11"
"Subbaiah,D.V.","10"
"Subramanian,Venkatachalam","10"
"Madhuri,W.","9"
"Murty,BudarajuSrinivasa","9"
"RoopasKiran,S.","9"
"Vishwam,T.","9"
"Murthy,Y.Narasimha","8"
"Kumar,RajneeshJeevan","8"
"Sivakumar,K.V.","7"
"VenkataRamana,M.","7"
"PenchalReddy,Matli","7"
"RangaReddy,R.NVRanga","7"
"Chitra,M.","6"
"Reddy,RangaNVRanga","6"
"Mohan,TamilselvanMadhu","5"
"Sebastian,MailadilThomas","5"
"RamakrishnaReddy,R.","5"
"Komalamba,B.","5"
"Sastry,MylavarapuSreentha","4"
"Subramanian,VenkatachalamS.","4"
"Naidu,SiddarthaVenkataNagender","4"
"Ramarao,S.D.","4"
"Subramanyam,B.","3"
"Sreenivasulu,Gollapudi","3"
"Sie-Tiong,Ha","3"
"Reddy,NagireddyRamamanohar","3"
"Reddy,M.Penchal","3"
"Singh,SantoshKumar","3"
"Kumar,KrishnaVijayaSiva","3"
"Ramana,MaramVenkata","3"
"Belt,RogerF.","3"
"Krishna,T.Vijaya","3"
"Rajitha,G.","2"
"Manu,KurusaroorMana","2"
"Singh,SantoshKumar","2"
"Balakrishnaiah,G.","2"
"Murthy,T.VSArun","2"
"Mondal,RajibA.","2"
"Babu,GundaSantosh","2"
"Natarajan,TirupatturSrinivasan","2"
"Badnikar,S.L.","2"
"SantoshBabu,Gunda","2"
"Shone,MichaelF.","2"
"Dhamodharan,R.","2"
"Murthy,DevataVB","2"
"Soni,Sumeet","2"
"Shanmugam,N.","2"
"Narayana,ChandrabhasSurya","1"
"Satyanandam,G.","1"
"RammanoharReddy,N.","1"
"Raghuraman,G.K.","1"
"Moreira,RobertoLuiz","1"
"RamaRao,S.D.","1"
"Sreenivasulu,M.","1"
"Satya,A.T.","1"
"Kumar,KituVinothSiva","1"
"Reddy,NarsappaRamaManohar","1"
"Venkatesh,Janakiraman","1"
"Kumari,T.Vindhya","1"
"Lakshminaryana,Subhash","1"
"Madhurima,Vinjanampaty","1"
"Ramanaiah,M.Venkata","1"
"JeevanKumar,R.","1"
"Reddy,RamakrishnaRamakrishna","1"
"Rao,B.P.","1"
"Rajagopal,E.","1"
"Dewar,Graeme","1"
"Prasad,KamalVR","1"
"Thomas,DhaneshJ.","1"
"Kumar,VivekSuvaranaPavan","1"
"Mishra,KarunaKara","1"
"Kumar,L.Tanuj","1"
"RamaManoharReddy,N.","1"
"ArunMurthy,T.VS","1"
"Brahmam,P.V.","1"
"Rao,K.Nagabushana","1"
"SivaKumar,Koppala","1"
"Liu,HsiangLin","1"
"Lobo,RicardoPSM","1"
"Subrahmanyam,AryasomayajulaVB","1"
"Sivasubramanian,Venkatasubramanian","1"
"VenkataRamanaa,M.","1"
"Ramakrishna,SeeramAnantha","1"
"Kim,Ilgon","1"
"Chia,Chihta","1"
"Babu,VeluruJagadeesh","1"
"Lin,Inan","1"
"Renjini,NankaranNair","1"
"Begum,S.Salma","1"
"Murthy,DrTVSArun","1"
"Bhaumik,Samiran","1"
"Reddy,PSSreedhara","1"
"AjayaKumar,K.","1"
"Parvateesam,K.","1"
"Abhilash,Pulanchiyodan","1"
"SreehariSastry,S.","1"
"Reddy,K.SivaKumar","1"
"Mishra,AmodiniK.","1"
"Reddy,RajuruRamaKrishna","1"
"Ananthakumar,Solaiappan","1"
"Reddy,M.N.","1"
"Pullaiah,C.","1"
"Thomas,SherinC.","1"
"Joseph,Nina","1"
"Suryanarayana,A.","1"
"Choudhary,RamNareshPrasad","1"
"Choudhary,ShambhuNath","1"
"Arora,AkhileshK.","1"
"Raju,R.VR","1"
"Naidu,SudhakarVenkata","1"
"Bharathi,ArvindKrishnasamy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
