Scopus - Analyze author output

"Author name:","Murugavel, P."
"Scopus author ID:","6701686970"

"Co-authors:","109"

"Co-author","Co-authored documents"

"Noh,Taewon","17"
"Prellier,Wilfrid","12"
"Lee,Junghyuk","11"
"Lee,Daesu","10"
"Nayek,Chiranjib","9"
"Jo,Younghun","6"
"Simon,ChH.","6"
"Jung,Myunghwa","6"
"RAOCNR","6"
"Thirmal,Ch","6"
"Raju,AddepalliR.","6"
"Yoon,Jonggul","5"
"Magesh,J.","5"
"Moon,Soonjae","4"
"Chung,Jinseok","4"
"Sood,AjayKumar","4"
"Chung,Jinseok","4"
"Mangalam,R.VK","4"
"Kim,Keehoon","4"
"Narayana,Chandrabhas","4"
"Lee,Yunsang","3"
"Yu,Jaejun","3"
"Park,JeGeun","3"
"Parashar,Sachin","3"
"Padhan,Prahallad","3"
"Kim,Myungwhun","3"
"Singh,Kiran","3"
"Subramanian,VenkatachalamS.","3"
"Tamilselvan,Abiraman","3"
"Ryu,Hyejin","3"
"Lee,Jaihyung","3"
"Cho,Deokyong","3"
"Kim,Donggeun","2"
"Kim,Hyungjin","2"
"Bae,CheJin","2"
"Singh,MangalaPrasad","2"
"Adyam,Venimadhav","2"
"Chae,Seungchul","2"
"Lee,Junghee","2"
"Choi,Wooseok","2"
"Lee,Hosik","2"
"Oh,Yoonseok","2"
"Raveau,BernardB.","2"
"Jang,Seungyup","2"
"Sakar,MahmutSelman","2"
"Balakumar,Subramanian","2"
"Park,Jaehoon","2"
"Kim,J.W.","2"
"Kalaiselvam,M.","2"
"Ko,Youngdong","2"
"Ita,BenedictIserom","2"
"Seo,SungSAmbrose","2"
"Jo,Jiyoung","2"
"Manna,Kaustuv","1"
"Kim,Beomjun","1"
"Heu,Min","1"
"Giridharan,NambiVenkatesan","1"
"Shin,Yeongjae","1"
"Lee,JaeHo","1"
"Pokle,Anuj","1"
"Jung,Jonghoon","1"
"Sim,HyeYeong","1"
"Kim,Jaeyoung","1"
"Park,Hyunmin","1"
"Govindaraj,A.","1"
"Lee,Kibong","1"
"Murthy,VemoriRK","1"
"Metcalf,PatriciaA.","1"
"Rho,K.J.","1"
"Choi,Wooseok","1"
"Renganathan,M.K.","1"
"Ishibashi,Hiroki","1"
"Seikh,MdMotin","1"
"Mercey,Bernard","1"
"Kim,Miyoung","1"
"Nair,SanthoshPN","1"
"Satheesh,V.K.","1"
"Viswanathan,Balasubramanian","1"
"Kim,Youngwoon","1"
"Cheong,Sangwook","1"
"Ponnambalam,Venuvanalingam","1"
"Saurel,Damien","1"
"Samanta,Sudeshna","1"
"Krishnamurthy,J.","1"
"Oh,Younghwa","1"
"Jo,T.","1"
"Nanda,B.RK","1"
"Ahn,Jaiseok","1"
"Seo,SungGeunA","1"
"Jang,KwangHyun","1"
"SaravanaKumar,K.Saravana","1"
"DineshKumar,Sakthivel","1"
"Lee,Jaeseung","1"
"Tanaka,Arata","1"
"Pal,Anand","1"
"Biswas,P.P.","1"
"Jang,JaeHyuck","1"
"Sahoo,K.K.","1"
"Dhama,Rakesh","1"
"Balakumar,Subramaniam","1"
"Yoon,Seokwon","1"
"Noh,Hanheol","1"
"AnilKumar,P.S.","1"
"YupJang,Seung","1"
"Oh,Sejung","1"
"Honig,JürgenMichael","1"
"Sharma,RajatK.","1"
"Park,ByungGook","1"
"Singh,KiranPal","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
