Scopus - Analyze author output

"Author name:","Nanda, B. R K"
"Scopus author ID:","57016443400"

"Co-authors:","25"

"Co-author","Co-authored documents"

"Satpathy,SashiK.","11"
"Dasgupta,Indra","4"
"Popović,ZoricaS.","3"
"Sherafati,Mohammad","2"
"Manna,Kaustuv","1"
"Chakraborty,Jayita","1"
"AditMaark,Tuhina","1"
"Ramaprabhu,Sundara","1"
"Ali,Sajid","1"
"Samanta,Subhasis","1"
"Pokle,Anuj","1"
"Jain,MahaveerK.","1"
"Murugavel,P.","1"
"Samanta,Sudeshna","1"
"Nayek,Chiranjib","1"
"Springborg,MichaelS.","1"
"Satpathy,SuramaK.","1"
"Bisht,PremBallabh","1"
"Sahoo,GuruprasadC.","1"
"Padmanabhan,Haricharan","1"
"AnilKumar,P.S.","1"
"Bongu,SudhakaraReddy","1"
"Jena,Ajit","1"
"Vincent,Aneesh","1"
"Kashikar,Ravi","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
