Scopus - Analyze author output

"Author name:","Narayanan, Rajesh S."
"Scopus author ID:","56279030500"

"Co-authors:","114"

"Co-author","Co-authored documents"

"Vojta,Thomas","19"
"Sekar,RajRaj","14"
"Chakrabarty,DipuK.","13"
"Sridharan,R.","12"
"Kirkpatrick,TheodoreR.","10"
"Modi,N.K.","10"
"Belitz,Dietrich","10"
"Raghavarao,R.","9"
"Taori,AlokK.","5"
"Mohan,PriyankaVishnuAnanda","5"
"Pallamraju,D.","5"
"Pant,TarunKumar","5"
"Florens,Serge","4"
"Evers,Ferdinand","4"
"Babu,V.V.","4"
"Desai,J.N.","4"
"Hoyos,JoséAbel","4"
"Chandra,HarishSharat","3"
"Sudhakar,V.","3"
"Patra,AmitK.","3"
"Hrahsheh,Fawaz","3"
"Das,SumanR.","2"
"Barghathi,Hatem","2"
"Janani,C.","2"
"Wan,Xin","2"
"Gupta,Ranjan","2"
"Devasia,C.V.","2"
"Sridharan,R.","2"
"Gupta,Tribikram","2"
"Bera,Soumya","2"
"Subbarao,K.SV","2"
"Mildenberger,Achim","2"
"Venkatakrishnan,Parameswaran","2"
"Subbaraya,B.H.","2"
"Mirlin,AlexanderD.","2"
"Ramarao,P.VS","2"
"Pathan,BashirM.","2"
"Venturelli,Davide","2"
"Arnold,Andreas","1"
"Laskar,FazlulI.","1"
"Ghosh,Pratyay","1"
"Bhattacharyya,J.C.","1"
"Zhu,Qiong","1"
"Sidhu,JagjitS.","1"
"Indrasenan,N.","1"
"Somayajulu,V.V.","1"
"Weinstein,RoyM.","1"
"Baumgardner,JeffreyL.","1"
"Gupta,SumedhaP.","1"
"Balakrishnan,SrivatsanK.","1"
"Obot,Victor","1"
"Sarkhel,Sumanta","1"
"Thomale,Ronny","1"
"Cook,Timothy","1"
"Santhosh,G.","1"
"Elango,K.","1"
"Schindler,Johannes","1"
"Xu,Jianchun","1"
"Chakrabarty,H.","1"
"Zhang,Fuchun","1"
"Rao,Pendyalabalarama","1"
"Gruzberg,IlyaA.","1"
"Sessions,SharonL.","1"
"Mendillo,ChristopherB.","1"
"Mercaldo,MariaTeresa","1"
"Wölfle,Peter","1"
"Singh,RavindraPratap","1"
"Reuther,Johannes","1"
"Mayer,T.","1"
"Wan,Xin","1"
"Goldbart,PaulM.","1"
"Shiokawa,K.","1"
"Wu,Judy","1"
"Rout,Diptiranjan","1"
"Prasad,N.DN","1"
"Anandarao,BoddapatiG.","1"
"Pallam-Raju,D.","1"
"Misra,RenukaN.","1"
"Ananth,A.V.","1"
"Sharma,Som","1"
"Ren,Yanru","1"
"Toner,JohnJ.","1"
"Damle,KedarS.","1"
"Häfner,V.","1"
"Sinha,HarshSS","1"
"Lu,Min","1"
"Zhang,Guangming","1"
"Sridharan,Sriraaman","1"
"Chakrabarti,Supriya","1"
"Veenadhari,Bhaskara","1"
"Suhasini,R.","1"
"Iqbal,Yasir","1"
"Lockwood,Sean","1"
"Subramaniam,ArvindR.","1"
"Rao,Wenjia","1"
"Sknepnek,Rastko","1"
"Wang,Hao","1"
"Beig,Gufran","1"
"Reeves,GeoffreyD.","1"
"Chen,In-Gann","1"
"Chakrabarty,Purobi","1"
"Niranjan,Kandula","1"
"Chakrabarty,DipakKumarC","1"
"Sreenath,Venkata","1"
"Liu,Jay","1"
"Raizada,Shika","1"
"Weik,Norman","1"
"Vyas,G.D.","1"
"Kumar,BrijeshMadhan","1"
"Danilov,AlexeyD.","1"
"Freyn,Axel","1"
"Lakshminarayan,Arul","1"
"Gurubaran,Subramanian","1"
"Sriphati,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
