Scopus - Analyze author output

"Author name:","Padhan, Prahallad"
"Scopus author ID:","10539651400"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Prellier,Wilfrid","27"
"Budhani,RameshC.","12"
"Behera,BhaskarChandra","7"
"Ravindra,A.V.","5"
"Bao,Ningzhong","4"
"Pandey,NavneetK.","4"
"Leclair,PatrickR.","4"
"Shen,Liming","4"
"Mercey,Bernard","3"
"Murugavel,P.","3"
"Srivastava,Sachchidanand","3"
"Simon,ChH.","2"
"Wahl,Alexandre","2"
"Guillou,François","2"
"Zhang,Qiang","2"
"Thota,Subhash","2"
"Kulkarni,VishwasN.","2"
"Srinivasan,Gopalan","2"
"Lobo,RicardoPSM","2"
"Srivastava,Chandan","1"
"Cho,B.G.","1"
"Wang,Yu","1"
"Hardy,Vincent","1"
"Fouchet,Arnaud","1"
"Turner,CharlottaHeath","1"
"Gupta,ArnabSen","1"
"Gupta,Ankur","1"
"Martin,Ivar","1"
"Mandal,Soumen","1"
"Lüders,Ulrike","1"
"Wang,Yuhsiang","1"
"Chia,Elb́ertEM","1"
"Gupta,Arunava","1"
"Panagopoulos,Christos","1"
"Boullay,PhH.","1"
"Wu,Tom","1"
"Gupta,AshishKumar","1"
"Gupta,AnkurKumar","1"
"Djayaprawira,DavidDJulianto","1"
"Bose,SaurabhK.","1"
"Tsunekawa,Koji","1"
"Sharma,RajeevP.","1"
"Batista,CristianD.","1"
"Lebedev,OlegI.","1"
"An,Wei","1"
"Rakshit,RajibKumar","1"
"Venkatesan,ThirumalaiNC","1"
"Barrier,Nicolas","1"
"Gupta,Arunava","1"
"Gupta,Arunava","1"
"Gupta,Arunava","1"
"Gupta,Abhishek","1"
"Lee,Hangil","1"
"Guo,Haizhong","1"
"Kim,Jooyun","1"
"Seo,Jiwon","1"
"Venkata,RavindraA.","1"
"Subramanian,MunirpallamA.","1"
"Iliev,M.N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
