Scopus - Analyze author output

"Author name:","Ramachandra Rao, M. S."
"Scopus author ID:","6701351287"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Rama,N.","14"
"Kottaisamy,Muniasamy","11"
"Thiyagarajan,Panchatcharam","10"
"Chandran,Maneesh","9"
"Okada,Tatsuo","8"
"Singh,Shubra","8"
"SenthilKumar,E.","8"
"Groß,RudolfE.","8"
"Ravindranath,Viswanath","8"
"Tiwari,Brajesh","8"
"Ramachandran,Balasubramanian","6"
"Bhattacharya,SubramshuS.","5"
"Pinto,Richard","5"
"MohanKant,K.","5"
"Kumaran,ChittuR.","5"
"Sankaranarayanan,Venkataraman","5"
"Mannam,Ramanjaneyulu","4"
"Sudakar,Chandran","4"
"Dixit,Ambesh","4"
"Dumpala,Ravikumar","4"
"Nakamura,Daisuke","4"
"Opel,Matthias","4"
"Lawes,GavinJ.","3"
"Sudireddy,BhaskarReddy","3"
"Varadaraju,UpadhayayulaV.","3"
"Ubic,Rick","3"
"Bellarmine,F.","3"
"Sakai,Kentaro","3"
"Mocherla,PavanaSV","3"
"PrasadRao,K.","3"
"Naik,Ratna","3"
"Surendra,MuvvalaKrishna","3"
"Rao,D.Ramachandra","3"
"Karthik,Chinnathambi","3"
"Lü,Yafeng","3"
"Tyagi,AshokKumar","3"
"KrishnaSurendra,M.","3"
"Kumar,NiranjanSenthilArun","3"
"Rangarajan,Govindan","3"
"Dash,SitaramK.","3"
"Ikari,Tetsuo","2"
"Kanjilal,DinakarK.","2"
"Rajagopalan,SubbiahR.","2"
"Marhas,ManmeetKaur","2"
"Klein,JürgenJ.","2"
"Ishikura,K.","2"
"Srivastava,SachinKumar","2"
"Sethupathi,Kanikrishnan","2"
"Balakrishnan,Karthik","2"
"Vijayaraghavan,RajagopalanR.","2"
"Higashihata,Mitsuhiro","2"
"Reddy,S.AK","2"
"Venkatesh,Shalini","2"
"Mehta,GKK.","2"
"Srinivasan,Rajagopalan","2"
"Kannan,Divya","2"
"Margaritondo,GiorgioMargaritondo","2"
"Vedwyas,M.","2"
"Natarajan,RajamaniN.","2"
"Balamurugan,K.","2"
"Mohan,Sangeneni","2"
"Ganesan,Vedaraman","2"
"Uhlenbruck,S.","2"
"Saravanan,P.","2"
"Klingeler,Rüdiger","2"
"Ravindran,TharaR.","2"
"Shanmugam,Palanisamy","2"
"Pai,SubashP.","2"
"Pandian,RamanathaswamySathish","2"
"Philipp,JanBoris","2"
"Lorenz,MichaelPeterAndreas","2"
"Natarajan,Gomathi","2"
"Senthilnathan,S.","2"
"Radhika,Ramadoss","2"
"Santhosh,PadmamN.","2"
"HarishKumar,N.","2"
"MohanRao,Gowravaram","2"
"Bahuguna,Ashok","2"
"Fukuyama,Atsuhiko","2"
"Ogale†,S.B.","2"
"Büchner,BerndB.","2"
"DasGupta,Nandita","2"
"HarikrishnaVarma,ParimanathuRamaVarma","2"
"EreathBeeran,Ansar","1"
"Althammer,Matthias","1"
"Mukherjee,JayaK.","1"
"Tsuta,Koji","1"
"Srinivasan,Gopalan","1"
"Geprägs,Stephan","1"
"Rietwyk,KevinJames","1"
"Venkateshvaran,Deepak","1"
"Mino,Lorenzo","1"
"Grundmann,Marius","1"
"Pentcheva,Rossitza","1"
"Fernandez,FrancisBoniface","1"
"Vellappally,Sajith","1"
"Ohori,Daisuke","1"
"Mertig,Ingrid","1"
"Majewski,Pawel","1"
"Boschker,Hans","1"
"Muvvala,KrishnaSurendraUrendra","1"
"Sankaranarayan,V.","1"
"Kubo,Kazuki","1"
"Marimuthu,K.N.","1"
"Wu,K.K.","1"
"Kuo,Yungkang","1"
"Bardelli,Fabrizio","1"
"Radhamani,A.V.","1"
"Subramanian,Venkatachalam","1"
"Abel,Stefan","1"
"Palani,IyamperumalA.","1"
"Sandana,EricV.","1"
"Bhattacharya,S.S.","1"
"Durgalakshmi,D.","1"
"Fontcuberta,Josep","1"
"Okazaki,Kota","1"
"Gowthama,S.","1"
"Sivasubramanian,Venkatasubramanian","1"
"Ishida,Yuki","1"
"ThankaRajan,S.","1"
"NandaKumar,A.K.","1"
"VeeraKrishnaMeera,K.","1"
"Thirupathiah,S.","1"
"Venkatesan,ThirumalaiNC","1"
"Ansar,EreathBeeran","1"
"Salgueiro,Daniela","1"
"Sankaran,KamatchiJothiramalingam","1"
"Lamberti,Carlo","1"
"Kawasaki,Masashi","1"
"Shimogaki,Tetsuya","1"
"Uchida,Masaki","1"
"Sugie,T.","1"
"SaravanaKumar,K.Saravana","1"
"Ramesh,K.S.","1"
"Monteiro,RalphGerard","1"
"Sharon,Madhuri","1"
"Devadoss,Anitha","1"
"Fortunato,ElviraMCC","1"
"Liu,Ao","1"
"Dumpala,Ravikumar","1"
"Kumar,E.Senthil","1"
"Nazeer,ShaijuS.","1"
"Gianolio,Diego","1"
"Vijayan,Sriram","1"
"Gupta,KapilK.","1"
"Borisov,VladislavS.","1"
"Lazenka,VeraV.","1"
"AroutChelvane,J.","1"
"Samji,SunilKumar","1"
"Apte,PrakashR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
