Scopus - Analyze author output

"Author name:","Ramanan, Sharadha V."
"Scopus author ID:","7005178715"

"Co-authors:","40"

"Co-author","Co-authored documents"

"Brink,PeterR.","19"
"Ananthanarayan,Balasubramanian","5"
"Christ,GeorgeJ.","4"
"Furnstahl,R.J.","4"
"Peterson,ElizabethA.","3"
"Beyer,EricC.","3"
"Sachdev,PurushottamLai","3"
"Banach,Kathrin","3"
"Bogner,ScottK.","3"
"Abbas,Gauhar","3"
"Cronin,KerryC.","3"
"Imsong,I.Sentitemsu","2"
"Varadaraj,Kulandaiappan","2"
"Mishra,Tapan","2"
"Das,BhanuPratap","2"
"Schwenk,Achim","2"
"Pai,RameshV.","2"
"Luthra,MeetuSethi","2"
"Valiunas,Virginijus","2"
"Schirrmacher,Karin","1"
"Caprini,Irinel","1"
"Manivannan,Kandiah","1"
"Nair,C.MadhavanK","1"
"Seul,Kyunghwan","1"
"Schirrmacher,Karin","1"
"Kumari,SindhuSindhu","1"
"Fan,Shihfang","1"
"Sabna,C.","1"
"Urban,Michael","1"
"Murty,K.VGK","1"
"Caprini,Irinel","1"
"Mathias,RichardT.","1"
"Mesimeris,V.","1"
"Christensen,EmilyA.","1"
"Veenstra,RichardD.","1"
"MacHingal,MasoodA.","1"
"Westphale,EileenM.","1"
"Srinivas,Sarath","1"
"Wang,Hongzhan","1"
"Wendt,KyleA.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
