Scopus - Analyze author output

"Author name:","Sankaranarayanan, V."
"Scopus author ID:","57017671000"

"Co-authors:","18"

"Co-author","Co-authored documents"

"Srinivasan,Rajagopalan","3"
"Subramaniam,ChitturKrishnaswamy","2"
"Vaidhyanathan,L.S.","1"
"Geethakumary,T.","1"
"Varadaraju,UpadhayayulaV.","1"
"SubbaRao,G.VSubba","1"
"Ganesan,Vedaraman","1"
"Radhakrishnan,VijayashreeM.","1"
"Sastry,V.Sankara","1"
"Ravindran,TharaR.","1"
"Natarajan,SubramanianR.","1"
"Srinivasn,R.","1"
"Kasiviswanathan,Subbiah","1"
"Rajam,PrakashFortunata","1"
"Radhakrishnan,T.S.","1"
"Balakrishnan,Geetha","1"
"Krishnan,H.","1"
"Arumugam,Sasikumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
