Scopus - Analyze author output

"Author name:","Santhosh, Padmam N."
"Scopus author ID:","6601945156"

"Co-authors:","105"

"Co-author","Co-authored documents"

"HarishKumar,N.","9"
"Balamurugan,K.","6"
"Ganeshraj,C.","6"
"Ganga,B.G.","5"
"Woodward,PatrickM.","5"
"RAOCNR","5"
"Nair,VidhyaG.","4"
"SavithaPillai,S.","4"
"Subramanian,VenkatachalamS.","4"
"Date,Sadgopal","4"
"Arulraj,Anthony","4"
"Goldberger,JoshuaE.","3"
"Ramaprabhu,Sundara","3"
"Varma,ManojRaama","3"
"Pillai,SajuSavitha","3"
"Vanitha,P.Vinmathi","3"
"Nayak,PranatiL.","3"
"Tuna,Floriana","3"
"Suresh,KrishnaGopinatha","3"
"Ramachandran,Balasubramanian","3"
"Singh,RaviShanker","3"
"Karen,Pavel","3"
"Epstein,ArthurJ.","2"
"Balamurugan,Karuppannan","2"
"Thomas,PreethaJohn","2"
"Nigam,ArunKumar","2"
"Markandeyulu,G.M.","2"
"Das,AsokaK.","2"
"Pradheesh,R.","2"
"RamachandraRao,M.S.","2"
"KamalaBharathi,K.","2"
"Yelon,WilliamB.","2"
"Vogt,ThomasJ.","2"
"Lamsal,Jagat","2"
"JohnThomas,P.","2"
"Nirmala,R.","2"
"Moodenbaugh,ArnoldR.","2"
"AroutChelvane,J.","2"
"Kale,AjayS.","1"
"Lee,W.P.","1"
"Guha,Ayan","1"
"Kumary,T.Geetha","1"
"Chopra,A.","1"
"Sethupathi,Kanikrishnan","1"
"Seetharaman,S.M.","1"
"Dhal,Lakshman","1"
"SubramanyaSarma,Vadlamani","1"
"Attfield,J.Paul","1"
"Mulla,ImtiazS.","1"
"Venkatesh,Shalini","1"
"Namboothiri,M.AG","1"
"Holzäpfel,Bernhard","1"
"Engel,Sebastian","1"
"Blundell,StephenJ.","1"
"Stoltzfus,MatthewW.","1"
"Nisha,PrakasanA.","1"
"Withers,RayLeslie","1"
"Ricciardo,RebeccaA.","1"
"NeenuLekshmi,P.","1"
"Battle,PeterD.","1"
"Jammalamadaka,S.Narayana","1"
"Kavita,Srikanti","1"
"SenthilKumar,E.","1"
"Pal,Lakhan","1"
"Raju,NandyalaP.","1"
"Kumar,AnilVijayPradeep","1"
"Kharat,D.K.","1"
"Pavithran,Chorappan","1"
"Mondal,Rajib","1"
"Rosseinsky,MatthewJ.","1"
"Raychaudhuri,ArupKumarR","1"
"Surendra,MuvvalaKrishna","1"
"Nair,HarikrishnanS.","1"
"Quezado,Sylvio","1"
"Divyaa,D.","1"
"Schultz,LoganN.","1"
"Pattabiraman,M.","1"
"Bourgeois,Laure","1"
"Seal,Sudipta","1"
"Pagola,Silvina","1"
"Mahendiran,Ramanathan","1"
"Sharma,NeetikaN.","1"
"Potdar,HariShankar","1"
"Nirmala,Rajkumar","1"
"Eng,HankW.","1"
"Malik,SatishK.","1"
"Malik,SudhirKR","1"
"Sooryanarayana,K.","1"
"Barve,R.N.","1"
"Mahato,RabindraNath","1"
"Kumar,NarendraDeepak","1"
"Gopalan,R.Srinivasa","1"
"Varma,PankajCRajath","1"
"Rangarajan,Govindan","1"
"Chattarpal","1"
"Stephens,PeterW.","1"
"AnilKumar,P.S.","1"
"Sankaranarayanan,Venkataraman","1"
"Rao,Muralidhara","1"
"Steer,ChristopherA.","1"
"Kumar,C.M.N.","1"
"Hühne,Ruben","1"
"Ganguly,Parthasarathy","1"
"Chelvane,JeyaramaneArout","1"
"Knoth,Kerstin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
