Scopus - Analyze author output

"Author name:","Satyanarayana, Mandavilli Venkata"
"Scopus author ID:","7005094015"

"Co-authors:","47"

"Co-author","Co-authored documents"

"Baradarajan,Anantharanganathan","9"
"Wallace,WmE.","6"
"Ramachandran,Subramania","6"
"Gupta,HimaniO.","5"
"Subbarao,EleswarapuC.","4"
"Fujii,Hironobu","4"
"Majumdar,ArnabK.","4"
"Murthy,J.SN","4"
"Mittal,RameshChand","4"
"Vélu,ElisabethMT","4"
"Kaul,SanjayN.","4"
"Sarkar,Gautam","3"
"Gupta,KinkarPrasad","3"
"Craig,RobertS.","2"
"Wallace,W.Edward","2"
"Jagadeesh,Varadarad","2"
"Prasad,KeshavShankaraSRCh","2"
"Baradaranjan,A.","2"
"Subramanyam,J.","2"
"Goel,D.K.","1"
"Rajesh,RajendiranJustin","1"
"Lakshmibala,S.","1"
"PadmavathySankar,T.A.","1"
"Madivanane,S.","1"
"Hirosawa,S.","1"
"Shankaraprasad,K.","1"
"Gupta,K.P.","1"
"Pȩdziwiatr,AntoniT.","1"
"ShankaraPrasad,K.","1"
"Balu,Kumar","1"
"Bonda,N.Rao","1"
"Raju,D.Chengal","1"
"Alsing,PaulM.","1"
"Narayan,RajA.","1"
"Sankar,T.APadmavati","1"
"Sankar,T.APadmavathi","1"
"Mahran,M.H.","1"
"Oswald,Eric","1"
"Bisht,PremBallabh","1"
"Prabhakar,Gouri","1"
"Hirosawa,Satoshi","1"
"Vijayakumar,M.N.","1"
"Fujii,H.","1"
"Santhanam,ThalanayarS.","1"
"Pourarian,Faiz","1"
"Kumar,Vinay","1"
"Sindhu,T.G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
