Scopus - Analyze author output

"Author name:","Sriramkumar, L. L."
"Scopus author ID:","6602596009"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Padmanabhan,Thanu","8"
"Shankaranarayanan,S.","7"
"Jain,RajeevKumar","7"
"Chingangbam,Pravabati","5"
"Hazra,DhirajKumar","5"
"Martín,JérômeÔme","5"
"Kothawala,DawoodA.","4"
"Souradeep,Tarun","4"
"Srinivasan,Krishnamurthy","3"
"Sreenath,Venkata","3"
"Sarkar,Sudipta","2"
"Chowdhury,Debika","2"
"Aich,Moumita","2"
"Seshadri,T.R.","2"
"Ray,Sayak","1"
"KumarJain,Rajeev","1"
"Kaplinghat,Manoj","1"
"Rangarajan,Raghavan","1"
"Mukund,R.","1"
"Joy,Minu","1"
"Atmjeet,Kumar","1"
"Gour,Gilad","1"
"Kumar,VeerendraHS","1"
"Nautiyal,Akhilesh","1"
"Mohanty,Subhendra","1"
"Berera,Arjun","1"
"Gutti,Sashideep","1"
"Jassal,H.K.","1"
"Kulkarni,Shailesh","1"
"Gong,Jinnouk","1"
"Unnikrishnan,Sanil","1"
"Stargen,D.Jaffino","1"
"KumarHazra,Dhiraj","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
