Scopus - Analyze author output

"Author name:","Subramanian, Venkatachalam S."
"Scopus author ID:","7202536121"

"Co-authors:","83"

"Co-author","Co-authored documents"

"Yogesh,Natesan","10"
"Ramesh,GirishM.","5"
"Nair,VidhyaG.","4"
"Murthy,VemuriRamaKrishna","4"
"Santhosh,PadmamN.","4"
"Murugavel,P.","3"
"Sivasubramanian,Venkatasubramanian","3"
"RoopasKiran,S.","3"
"DineshKumar,Sakthivel","3"
"Parida,SarojK.","2"
"Sarathi,Ramanujam","2"
"MerinSheema,I.P.","2"
"Natarajan,TirupatturSrinivasan","2"
"ChithraLekha,P.Chithra","2"
"Gupta,VibhaRani","2"
"Nayek,Chiranjib","2"
"Das,Dibakar","2"
"Rout,SanjeebKumar","2"
"Prabhu,KMMMMuraleedhara","2"
"Natarajan,K.S.","2"
"Murthy,DevataVB","2"
"Gupta,Nisha","2"
"Thirmal,Ch","2"
"PaulPraveen,John","2"
"Narayana,ChandrabhasSurya","1"
"Cavalcante,L.S.","1"
"Kasinathan,V.","1"
"Vatsala,R.V.","1"
"Ashwyn,Srinivasan","1"
"Sinha,Ela","1"
"Murty,BudarajuSrinivasa","1"
"Sreenivasulu,Gollapudi","1"
"Mohamed,AsaadPeer","1"
"Barhai,PremaKanta","1"
"Kar,B.B.","1"
"Schöllhorn,Robert","1"
"Dabas,Prashant","1"
"Praharaj,Swetapadma","1"
"Muthukrishnan,P.","1"
"Murugan,RamadossSenthil","1"
"Gopalakrishnan,P.","1"
"SubbaRao,G.VSubba","1"
"Kantha,Lakshmi","1"
"Rout,Dibyranjan","1"
"Raghunathan,K.","1"
"Wagner,KlausP.","1"
"Babu,GundaSantosh","1"
"Pal,Lakhan","1"
"Kumar,SandeepDinesh","1"
"Madhusoothanan,Manicavasagom","1"
"Revathi,Venkatachalam","1"
"VenuGopalReddy,K.","1"
"RameshBabu,V.","1"
"Longo,E.","1"
"Paulus,Werner","1"
"Dasaradan,BommasamudramSamarajan","1"
"Rajkumar,R.K.","1"
"Sundaray,Bibekananda","1"
"Li,MaximuSiu","1"
"Debnath,C.R.","1"
"Ganeshraj,C.","1"
"Ramakrishna,SeeramAnantha","1"
"SharaSowmya,N.","1"
"Aruna,G.","1"
"Varela,J.A.","1"
"Babu,VeluruJagadeesh","1"
"Kamat,S.V.","1"
"ArunKumar,K.","1"
"Poppe,UlrichPoppe","1"
"Das,AsokaK.","1"
"Ravichander,C.M.","1"
"Gerald,M.John","1"
"Balakrishnan,Geetha","1"
"Rajendran,B.","1"
"Hariharan,Krishnaswamy","1"
"Ramakrishnan,Govindan","1"
"Janaki,J.","1"
"Sundarrajan,M.","1"
"Nagesh,E.DV","1"
"Kolte,JayantT.","1"
"Raghavan,SingaraveluRV","1"
"Reddy,MonajiVinitha","1"
"Srinivas,Adiraj","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
