Scopus - Analyze author output

"Author name:","Subramanian, Venkatachalam"
"Scopus author ID:","36708869800"

"Co-authors:","132"

"Co-author","Co-authored documents"

"Sivasubramanian,Venkatasubramanian","24"
"Murthy,VemoriRK","21"
"Murali,KollegalRamakrishna","20"
"Lakshmanan,AnnamalaiS.","15"
"Rout,Dibyranjan","12"
"Rangarajan,N.","11"
"Murthy,VemuriRamaKrishna","10"
"Sobhanadri,Jandhyala","10"
"Wei,Bingqing","9"
"Fey,GeorgeTingKuo","8"
"Rambabu,Bobba","7"
"Hariharan,Krishnaswamy","7"
"Chen,Jianging","7"
"Natarajan,TirupatturSrinivasan","6"
"Vishwam,T.","6"
"Renganathan,NedumaramGopalan","5"
"Rangarajan,SarrikhaiK.","5"
"Krishnakumar,Ramanathan","5"
"Fey,GeorgeTingKuo","5"
"Ramprakash,Y.","5"
"Zhu,Hongwei","5"
"Muniyandi,Natchi","4"
"Sundaray,Bibekananda","4"
"SantoshBabu,Gunda","4"
"Elango,T.","4"
"Nagesh,E.DV","4"
"Praharaj,Swetapadma","3"
"Ramesh,AsvathanarayananA.","3"
"Chitra,M.","3"
"Babu,GundaSantosh","3"
"Masarapu,Charan","3"
"Vedantam,R.R.","3"
"Gnanasekar,KovilpillaiImmanuel","3"
"Chen,Chunglai","3"
"Stephan,ArulManuel","3"
"DineshKumar,Sakthivel","3"
"Venkatesan,VasudevK.","3"
"Murthy,DevataVB","3"
"Mallikarjuna,JawaliMaharudrappa","3"
"Venkatasubramanian,S.","2"
"Venkatesh,Janakiraman","2"
"Masui,Hirotsugu","2"
"Thirunakaran,Ramasamy","2"
"Hall,ScanC.","2"
"Jiang,Jiechao","2"
"Smith,PatriciaH.","2"
"Revathi,Venkatachalam","2"
"Lu,Chengzhang","2"
"Gopukumar,SukumaranA.","2"
"Huang,DonpLiang","2"
"Bellubbi,B.S.","2"
"Gurunathan,K.","2"
"Zhu,Hongwei","2"
"Shiu,R.F.","2"
"Akai,Tomoko","2"
"Saravanan,ThangaveluT.","2"
"Karki,Kishor","1"
"Zhu,Hongwei","1"
"Raghuraman,G.K.","1"
"Chockalingam,MaryJuliana","1"
"Moreira,RobertoLuiz","1"
"SureshKumar,T.N.","1"
"HariGanesh,R.","1"
"Teki,Ranganath","1"
"Kojima,Seiji","1"
"Fann,Wunshain","1"
"Srinivasan,KannupalV.","1"
"Hung,KaiHsuan","1"
"Sundaram,Vasanthi","1"
"Kumar,T.Prem","1"
"Balasubramanian,Ganesh","1"
"ManuelStephan,A.","1"
"Kar,B.B.","1"
"Subrahmanyan,A.","1"
"Subbaiah,D.V.","1"
"Teeter,GlennR.","1"
"Zeng,HaifengFeng","1"
"Muthamizhchelvan,Chellamuthu","1"
"Yogesh,Natesan","1"
"Thayananth,P.","1"
"Robinson,JoshuaO.","1"
"Chou,H.S.","1"
"Osaka,Tetsuya","1"
"Raghavan,M.RV","1"
"Shripathi,Thoudinja","1"
"Kang,SukJoongL","1"
"Usha,N.","1"
"Dionysiou,DionysiosDemetriouD","1"
"Lee,Yuanhaun","1"
"Kumar,VivekSuvaranaPavan","1"
"Karabacak,Tansel","1"
"ChithraLekha,P.Chithra","1"
"Sastry,V.Sankara","1"
"Ramesh,GirishM.","1"
"Posey,FanneyE.","1"
"Pan,KaunChang","1"
"Murthya,V.RK","1"
"Venkatraman,Sivaramakrishnan","1"
"Chellamuthu,Muthamizhchelvan","1"
"GopuKumar,S.","1"
"Ramesh,G.","1"
"Bobba,Rambabu","1"
"Liu,HsiangLin","1"
"Lin,Yuyen","1"
"Lobo,RicardoPSM","1"
"Kesavamoorthy,Rasu","1"
"Baudin,Isabelle","1"
"PremKumar,Thiruvikraman","1"
"Krishnamurthy,KaruppanagounderR.","1"
"Chia,Chihta","1"
"Karki,AnantaKumar","1"
"Lin,Inan","1"
"Bhaumik,Samiran","1"
"PadmanabhaSarma,H.","1"
"Dhamodharan,R.","1"
"AjayaKumar,K.","1"
"Sharma,RajeshP.","1"
"RamachandraRao,M.S.","1"
"Swaminathan,ViswanathanPSwami","1"
"Balasubramanian,Viswanathan","1"
"Pillai,KarnamChandrasekara","1"
"Kesavamoorthy,R.","1"
"Chang,Chiacheng","1"
"Suidan,MakranT.","1"
"RamaRao,M.V.","1"
"Eddy,FanniePosey","1"
"Fessenden,RichardW.","1"
"Lu,Tohming","1"
"Vajtai,Róbert","1"
"Xiang,RongZheng","1"
"Ajayan,PulickelM.","1"
"Laîné,JeanMichel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
