Scopus - Analyze author output

"Author name:","Sudakar, Chandran"
"Scopus author ID:","14069136600"

"Co-authors:","137"

"Co-author","Co-authored documents"

"Naik,Ratna","50"
"Lawes,GavinJ.","33"
"Naik,VamanM.","23"
"Jayakumar,OnattuDamodharan","17"
"Dixit,Ambesh","14"
"Tyagi,A.K.","14"
"Kharel,ParashuRam","12"
"Kutty,T.RNarayanan","10"
"Vaishnava,PremP.","10"
"Sahana,MoodakereB.","9"
"Thakur,JagdishSingh","8"
"Mocherla,PavanaSV","8"
"Subbanna,GonurNagarajarao","8"
"Suryanarayanan,Ramanathaan","8"
"Sasikala,Rajamma","7"
"Bharadwaj,ShyamalaRajkumar","7"
"Persson,ClasMarcus","6"
"Sudarsan,Vasant","6"
"Sudarsan,VasanthakumaranKumaran","6"
"Tackett,RonaldJ.","5"
"Shirole,ArchanaRamchandra","4"
"Regmi,RajeshKumar","4"
"Rablau,CorneliuI.","4"
"Auner,GregoryW.","4"
"Padmanabhan,KarurR.","4"
"RamachandraRao,M.S.","4"
"Sakuntala,Thyagarajan","3"
"Ubic,Rick","3"
"Nadgorny,BorisE.","3"
"Kulshreshtha,ShailendraK.","3"
"Salunke,HemantG.","3"
"Kumar,SanjeevKrishnaKrishna","3"
"Karthik,Chinnathambi","3"
"Gopalakrishnan,IyyaniKunjappu","3"
"Schaff,WilliamJ.","2"
"Panguluri,RaghavaP.","2"
"Peng,Xiangyang","2"
"Ilaiyaraja,P.","2"
"Jagannath","2"
"Viji,M.","2"
"Radhamani,A.V.","2"
"Thapa,C.","2"
"Shashikala,K.","2"
"Achary,SrungarpuNagabhusan","2"
"Ahuja,Rajeev","2"
"Girija,KalpathyGanapathy","2"
"Swain,Pravati","2"
"Black,CorreyM.","2"
"Thapa,Pushkal","2"
"Vatsa,RajeshKumar","2"
"Rao,Muralidhara","2"
"Oliveira,A.C.","1"
"Bazzi,Khadije","1"
"Nazri,GholamAbbas","1"
"Mukhopadhyay,Ashis","1"
"Kahn,David","1"
"Dutta,DimpleP.","1"
"Kamble,ValmikS.","1"
"Gopalakrishnan,I.K.","1"
"Pantea,MirceaA.","1"
"Narayan,JagdishA.","1"
"Petukhov,AndreG.","1"
"Kohli,Indermeet","1"
"Rao,Rekha","1"
"Rao,R.","1"
"Hoffmann,PeterM.","1"
"Mandal,BalajiPrasad","1"
"Alpay,PamirS.","1"
"Subba-Rao,Venkatesh","1"
"Panyam,Jayanth","1"
"Singh,Shubra","1"
"Gupta,AmitaK.","1"
"Desai,Rucha","1"
"Rao,Rekha","1"
"Danylyuk,YuriyV.","1"
"Rao,RamaGA","1"
"Garg,VijayendraKumar","1"
"Asthana,Anjana","1"
"Esmacher,Jason","1"
"Zhou,Zhixian","1"
"Kirby,BrianJ.","1"
"Gautam,Sanjeev","1"
"Nisar,Jawad","1"
"Gopalan,R.","1"
"Rao,Venkat","1"
"Jayakumar,Suryanarayan","1"
"Sakuntala,Tyagaraja","1"
"Ma,Qing","1"
"Jayakumar,OnnattuD.","1"
"Bhalerao,GopalkrishnaM.","1"
"Parekh,Kinnari","1"
"Upadhyay,RameshV.","1"
"Das,TapanKumar","1"
"Haacke,MarkMark","1"
"McCullen,ErikF.","1"
"Mantese,JosephV.","1"
"Rosenberg,RichardA.","1"
"Prater,JohnThomas","1"
"Rao,V.Subba","1"
"Keyes,PaulH.","1"
"Shen,Yimin","1"
"Wani,Amit","1"
"Neelavalli,Jaladhar","1"
"Oupicky,David","1"
"Srinivasan,T.K.","1"
"Dhindsa,KulwinderSingh","1"
"Gumber,V.","1"
"Kumaravel,Maruthai","1"
"Talebi,S.","1"
"Harris,AngelaBrooks","1"
"Micheli,AdolphL.","1"
"Toti,UdayaS.","1"
"Setzler,Gabriel","1"
"Rajkumar,ManiR.","1"
"Padmaja,S.","1"
"Vasu,S.","1"
"Nazri,Maryam","1"
"Lavoie,Melissa","1"
"Cheng,YuChungNorman","1"
"Panicker,LataV.","1"
"Sepehri-Amin,Hossein","1"
"Vinu,Ajayan","1"
"Ramachandran,Balasubramanian","1"
"Sayed,FarheenNasir","1"
"Cunningham,Robert","1"
"Sasikala,N.T.","1"
"Srinivasan,Gopalan","1"
"Balaji,RamamoorthyArun","1"
"Rajendran,Venkatachalam","1"
"Kadam,RamakantMahadeo","1"
"Anandan,S.","1"
"Baird,RonaldJ.","1"
"Chae,KeunHwa","1"
"Ramnath,HariP.","1"
"Bhattarai,ShantaRaj","1"
"Mehta,RasbinduV.","1"
"Avrutsky,IvanA.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
