Scopus - Analyze author output

"Author name:","Sundara, Ramaprabhu"
"Scopus author ID:","37114690500"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Baby,TessyTheres","4"
"Pullamsetty,Ashok","2"
"Nair,AsalathaAS","2"
"BhagavathiParambath,Vinayan","1"
"BhagavathiParambhath,Vinayan","1"
"PNagappanNair,Santhosh","1"
"Baro,Mridula","1"
"Subbiah,Maheswari","1"
"Sripada,Raghu","1"
"Anitha,N.","1"
"Shende,RashmiChandrabhan","1"
"TheresBaby,Tessy","1"
"Puthusseri,Divya","1"
"Natarajan,Rajalakshmi","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
