Scopus - Analyze author output

"Author name:","Sunil Kumar, P. B."
"Scopus author ID:","6603397305"

"Co-authors:","35"

"Co-author","Co-authored documents"

"Laradji,Mohamed","8"
"Ipsen,JohnHjort","4"
"Rao,Madan","3"
"Gompper,Gerhard","2"
"Adhikari,Ronojoy","2"
"Karttunen,Mikko","2"
"Åström,JanA.","2"
"Sreeja,K.K.","2"
"Lipowsky,Reinhard","2"
"Spangler,EricJ.","2"
"Ramakrishnan,Natesan","2"
"Deshpande,AbhijitP.","1"
"Bagatolli,LuísA.","1"
"Revalee,JoelD.","1"
"Pandey,Ankita","1"
"Lakshmi,K.C.","1"
"Singh,Rajeev","1"
"Menon,GautamI.","1"
"Sornbundit,Kan","1"
"VonAlfthan,Sebastian","1"
"Davis,RyanS.","1"
"Laskar,Abhrajit","1"
"Triampo,Wannapong","1"
"Prathyusha,K.R.","1"
"Triampo,Darapond","1"
"Sperotto,MariaMaddalena","1"
"Nuttavut,Narin","1"
"Ramachandran,Sanoop","1"
"Sankararaman,Sumithra","1"
"Radhakrishnan,Ravi","1"
"Ghose,Somdeb","1"
"Ramakrishnan,N.","1"
"Jayaraman,Gayathri","1"
"Modchang,Charin","1"
"Ranjith,Padinhateeri","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
