Scopus - Analyze author output

"Author name:","Tripathy, Prasanta K."
"Scopus author ID:","7003946238"

"Co-authors:","32"

"Co-author","Co-authored documents"

"Trivedi,SandipP.","6"
"Dominic,Pramod","4"
"Kachru,Shamit","4"
"Mandal,Taniya","3"
"Pattnaik,Monalisha","3"
"Giryavets,AlexanderA.","2"
"Nampuri,Suresh","2"
"Inbasekar,Karthik","2"
"Trivedi,SandipP.","2"
"Khare,AvinashV.","2"
"Pradhan,SipunKr","2"
"Biswal,BhabendraNarayan","1"
"Petkou,AnastasiosC.","1"
"Sahoo,N.K.","1"
"Lüst,Dieter","1"
"Schulz,MichaelB.","1"
"Schulgin,Waldemar","1"
"Shial,R.","1"
"Mohanty,AjitK.","1"
"Leigh,RobertG.","1"
"Harikumar,E.","1"
"Tripathy,P.","1"
"Reffert,Susanne","1"
"Schaposnik,FidelA.","1"
"Majhi,P.R.","1"
"Dash,PradiptaKishore","1"
"Panda,Ganapati","1"
"Sivakumar,M.","1"
"Görlich,Lars","1"
"Wee,W.M.","1"
"Petropoulos,PanagiotisMariosS","1"
"Mohanty,BhabaniS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
