Scopus - Analyze author output

"Author name:","Anupindi, Kameswararao"
"Scopus author ID:","55485677800"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Frankel,StevenH.","7"
"Shetty,DineshA.","5"
"Delorme,YannT.","5"
"Rodefeld,MarkD.","4"
"Chen,Jun","3"
"Sengupta,TapanK.","3"
"Kerlo,AnnaElodieM","2"
"Kennington,JeffreyR.","2"
"Sandberg,RichardD.","2"
"Venkatasubbaiah,K.","2"
"Ghaisas,NiranjanS.","1"
"Lai,Weichen","1"
"Frankel,StevenH.","1"
"Dipankar,Anurag","1"
"DeGan,Jonathan","1"
"Pal,Abhro","1"
"DeGan,Jonathan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
