Scopus - Analyze author output

"Author name:","Babu, Viswanathan T."
"Scopus author ID:","56400455500"

"Co-authors:","45"

"Co-author","Co-authored documents"

"Sundararajan,Thirumalachari","12"
"Raghavan,Vasudevan","8"
"Rajasekaran,A.","6"
"Kannaiyan,Kumaran","6"
"Tide,P.S.","5"
"Sivakumar,R.","4"
"Baskar,G.","3"
"SubhashChandran,B.S.","3"
"Shijin,PuthiyaparambathKozhumal","3"
"Chakravarthy,SatyanarayananR.","3"
"Sundaram,SomaSoma","3"
"Thangadurai,G.RajaSingh","2"
"Strenski,DavidG.","2"
"Narasimhan,Arunn","2"
"Annamalai,K.","2"
"Sunder,C.Shyam","2"
"RajaSinghThangadurai,G.","2"
"Sankaran,S.","2"
"Chandran,B.SSubhash","2"
"Chandra,BhupeshUmesh","2"
"Panneerselvam,S.","2"
"Gogos,George","2"
"Satyanarayana,T.NV","2"
"Visvanathan,K.","2"
"Jambekhar,V.A.","1"
"SinghThangadurai,G.Raja","1"
"Sudharsan,NatteriM.","1"
"Behera,PrabhatRanjan","1"
"Anavaradham,T.KG","1"
"Dixit,HarishN.","1"
"Satishkumar,G.","1"
"Dinde,Prashant","1"
"Leep-Apolloni,Laurine","1"
"Desikan,S.LN","1"
"Strumoio,GaryS.","1"
"Obulesu,C.","1"
"Hariharan,AnandRaj","1"
"Raheem,S.Abdul","1"
"Vishnampet,Ramanathan","1"
"Krishnaswamy,Venkatesh","1"
"GaneshAnavaradham,T.K.","1"
"ShyamSunder,C.","1"
"Dhara,KrishnaKishore","1"
"Senesh,K.","1"
"Natarajan,Ramamurthy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
