Scopus - Analyze author output

"Author name:","Chatterjee, Dhiman"
"Scopus author ID:","7102524728"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Sarkar,Kausik","9"
"Jain,PankajB.","6"
"Syamsundar,C.","4"
"Kamaraj,Malmurugan","4"
"Maiti,AnupKumar","3"
"Narasimhan,Arunn","2"
"Bakshi,Shamit","2"
"Forsberg,Flemming","2"
"Verma,ParikshitL.","2"
"Arakeri,VijayH.","2"
"Ramana,P.V.","2"
"Dasgupta,Amitava","2"
"Das,SaritK.","2"
"Nithesh,K.G.","2"
"Shi,William","2"
"Premkumar,T.M.","2"
"Kumar,PankajV.","2"
"Eladi,PaulBraineard","1"
"Katiyar,Amit","1"
"Mallela,R.","1"
"Sharma,Laveena","1"
"Vivek,SatheSree","1"
"Krishnan,SreenathN.","1"
"NavaneethaKrishnan,R.","1"
"Oh,Cheol","1"
"Malipeddi,A.R.","1"
"Agarwal,Karuna","1"
"Chandran,Prasad","1"
"Paul,BraineardEladi","1"
"Aggarwal,Shelly","1"
"Paul,Shirshendu","1"
"MichaPremkumar,T.","1"
"Chandras,Pavan","1"
"Chatterjee,Anindya","1"
"Nagarajan,Thareswari","1"
"Lee,Youngho","1"
"Schreppler,NathanE.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
