Scopus - Analyze author output

"Author name:","Ghosh, Amitava Kumar"
"Scopus author ID:","7403964394"

"Co-authors:","135"

"Co-author","Co-authored documents"

"Bhattacharya,ShivSankarAnkar","12"
"Bandyopadhyay,PrasunS.","8"
"Verma,Anurag","8"
"Chakraborty,PrithvirajS.","7"
"Banerjee,Subham","6"
"Natarajan,Ramamurthy","6"
"Bandyopadhyay,ParthaK.","4"
"Singh,MahendraPratap","4"
"Ghosh,TanmoyR.","4"
"Manojkumar,K.","4"
"VanMele,Bruno","4"
"Yang,Yurong","4"
"Pant,K.K.","4"
"Tang,Ming","4"
"Hegde,RahulRama","4"
"Parcha,Versha","3"
"Chen,Hui","3"
"Ghosh,AshokeKumarM","3"
"Halder,Achintya","3"
"Chakraborty,DebarupaD.","3"
"Liang,Yan","3"
"VanHemelrijck,DannyV.","3"
"Bertels,Ellen","2"
"Pant,L.M.","2"
"Chandra,Prakash","2"
"Ghosh,Chandrasekhar","2"
"Song,Yingying","2"
"Han,Xiaozhen","2"
"Salim,B.","2"
"Goderis,Bart","2"
"Pandey,Neeraj","2"
"Bisht,Rohit","2"
"DaPonte,Gabriella","2"
"Rawat,M.S.","2"
"Biswas,Santonu","2"
"Roy,Sougata","2"
"Chattopadhyay,Pronobesh","2"
"Kant,P.","2"
"Das,Sujit","2"
"Upadhyaya,AnishS.","2"
"Rawat,G.S.","2"
"Dhar,AnindyaSundar","2"
"Verheyde,Bert","2"
"Chowdhury,PurojitK.","2"
"Samanta,Avik","2"
"Das,Isha","1"
"Mazahir,Farhan","1"
"VanPaepegem,Wim","1"
"Das,TamalD.","1"
"Prasad,DeviVK","1"
"Nag,Tanushree","1"
"VanAssche,Guy","1"
"Mishra,ArunKumar","1"
"Mondal,Ranjit","1"
"Paul,Chinmoy","1"
"Mohan,DevendraKrishna","1"
"Chanda,Indranil","1"
"Chowdhury,SantanuRoy","1"
"Kakaroglou,Alexandros","1"
"Datta,Supriya","1"
"Sharma,Prashant","1"
"Keny,RamachandraV.","1"
"Reddy,PrudviP.","1"
"Pal,DilipkumarKumar","1"
"Kumar,SunilJai","1"
"Deka,ManojKumar","1"
"Gupta,Ashutosh","1"
"Choudhury,RudraVaswataRoy","1"
"Mohanraj,Palaniappan","1"
"Bandyopadhyay,Sayan","1"
"Iyappan,SureshKannan","1"
"Sen,Kalyankumar","1"
"Dutta,PranabKr","1"
"Bagga,Manish","1"
"Maìti,ChinmayKumar","1"
"Saha,Abhradeep","1"
"Kumar,Anil","1"
"Bhadury,Somnath","1"
"Pandit,JayantK.","1"
"Verma,NavneetKumar","1"
"Shukla,Seema","1"
"Mahapatra,SamiranK.","1"
"Bandyopadhyay,AbhishekS.","1"
"Chakrabarti,Piyali","1"
"Chandrasekhar,Rameela","1"
"Dalapati,GoutamKumar","1"
"Kumar,Sugam","1"
"BAN,Yihui","1"
"Sinhamahapatra,KalyanPrasad","1"
"Raj,Pushp","1"
"Mishra,Sandeep","1"
"Hegde,RahulR.","1"
"Chiu,Tsanyu","1"
"Upadhyaya,Kumud","1"
"Nijhawan,OmPrakash","1"
"Kumar,VinodRavi","1"
"Agarwal,B.L.","1"
"Allaer,Klaas","1"
"Nayak,BhabaniShankar","1"
"Kumar,ArvindMadhan","1"
"Mishra,Alka","1"
"ShivaSai,S.","1"
"Verma,N.","1"
"Block,Christophe","1"
"Gupta,KoushikSen","1"
"Gupta,ArunKumar","1"
"Sarkar,ArpitaK.","1"
"Saxena,Ashwin","1"
"Bhattacharyya,S.K.","1"
"Lohani,Alka","1"
"Roy,AmitKumar","1"
"Aswal,VinodKumar","1"
"Rout,PrasantKumar","1"
"Singh,RaghvendraJ.","1"
"Sarkar,Simli","1"
"Trivedi,Vaibhav","1"
"Das,KalyanKumar","1"
"Scheller,HenrikVibe","1"
"Smet,Mario","1"
"Degrieck,Joris","1"
"Dey,Surajit","1"
"Bhide,PrashantJ.","1"
"Roy,BidhanChandra","1"
"Mukherjee,ChanchalKumar","1"
"Nayak,UdayaK.","1"
"Kumar,Asheesh","1"
"Deb,Jyotirmoy","1"
"Bansal,AshokKumar","1"
"Chanda,Ranabir","1"
"Chi,Dongzhi","1"
"Pandit,JayantaKumar","1"
"KannanI,Suresh","1"
"BhanojiRao,M.E.","1"
"Roy,ParthaDeb","1"
"Chen,Jie","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
