Scopus - Analyze author output

"Author name:","Govardhan, Mukka S."
"Scopus author ID:","6701744095"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Sitaram,Nekkanti","13"
"Ramakrishna,P.V.","5"
"Hariharan,Chinnasamy","4"
"Viswanath,KamalBSN","4"
"Gowda,BalaramHLakshmana","4"
"Venkatrayulu,N.","4"
"Dhanasekaran,T.S.","3"
"Kumar,O.GKrishna","3"
"Kumar,KrishnaNandan","3"
"Ramamurthy,Srinivasan","3"
"Vishnubhotla,V.S.","3"
"Subbarao,Rayapati","2"
"Kishor,G.","2"
"Wankhade,R.M.","2"
"Ananthakrishnan,K.","2"
"Ramakrishna,P.V.","2"
"Rajakumar,D.Ramesh","2"
"Sampat,D.Lakshmana","2"
"Ramakrishna,P.Venkata","2"
"Issac,JeojuM.","2"
"VenkateswaraBabu,C.","2"
"Sastri,S.SSRK","2"
"Subramaniyan,AlagappanL.","1"
"Sundarakannan,B.","1"
"Umang,J.P.","1"
"KrishnaKumar,O.G.","1"
"Rakappan,Muthu","1"
"RameshRajakumar,D.","1"
"Maharia,P.K.","1"
"Ilangovan,Rajangam","1"
"Verma,PuneeshwarLal","1"
"Nitheesh,George","1"
"Rajender,A.","1"
"Padwad,PrasadVijay","1"
"MuraliKrishna,V.T.","1"
"Srinivasa,Y.G.","1"
"Vasanthakumar,P.","1"
"PrithviRaj,D.","1"
"Venkatarayulu,N.","1"
"Prasad,R.SN","1"
"Giridharan,M.G.","1"
"Kottaisamy,Muniasamy","1"
"Murali,KantharajV.","1"
"Lokesh,L.","1"
"Seralathan,S.","1"
"Goswami,ShramanNarayan","1"
"Krishnakumar,O.G.","1"
"RamaMurthy,T.V.","1"
"Venkateswarlu,Ganta","1"
"Vijayraj,K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
