Scopus - Analyze author output

"Author name:","Hariharan, Krishnaswamy"
"Scopus author ID:","7006823606"

"Co-authors:","61"

"Co-author","Co-authored documents"

"Radhakrishna,S.","12"
"Dabas,Prashant","10"
"Patro,LaxmiNarayana","8"
"Money,BensonK.","8"
"Rout,Dibyranjan","7"
"Subramanian,Venkatachalam","7"
"Sivasubramanian,Venkatasubramanian","7"
"Kaushik,Rajiv","6"
"Sukeshini,A.Mary","6"
"SureshKumar,R.","5"
"Bhide,AmrthaD.","5"
"Anantha,P.S.","4"
"Sangamithra,C.","3"
"Maier,Joachim","3"
"Selvasekarapandian,Subramanian","3"
"Murthy,VemoriRK","3"
"Swenson,Jan","3"
"Rani,AdilaNDurga","3"
"Satyanarayana,NallaniD.","3"
"DurgaRani,A.N.","3"
"Jain,JayantK.","2"
"Adams,Stefan","2"
"Kim,Daeyong","2"
"Lee,Myounggyu","2"
"Murugesamoorthi,KottuppulampalayamA.","2"
"Han,Heungnam","2"
"Kim,Moonjo","2"
"Sudharsanan,Rengarajan","2"
"Nalini,B.","2"
"Oh,Kyuhwan","1"
"El-Mallawany,RaoufA.","1"
"Tomy,C.V.","1"
"Gobinathan,R.","1"
"Padmasree,K.P.","1"
"Singh,SudhanshuS.","1"
"K.Money,Benson","1"
"Suthanthiraraj,SamuelAustin","1"
"Sidek,HajiAbdulAziz","1"
"Chowdari,BobbaVR","1"
"Dubey,Prakash","1"
"HONG,Sungtae","1"
"Gokhale,Aditya","1"
"Okram,GunadhorSingh","1"
"Kumar,C.Muralikrishna","1"
"KrishnaMurthy,M.V.","1"
"Subramanian,VenkatachalamS.","1"
"Dhanabalan,M.","1"
"Ramasamy,P.","1"
"Jagadeesh,MSS.","1"
"Jayashree,J.","1"
"Badrinarayana,K.","1"
"SrinivasaMurthy,S.","1"
"Reddy,KothakotaViswanatha","1"
"Maruthamuthu,Pichai","1"
"Choi,Insuk","1"
"Rosmawati,Shaharuddin","1"
"Panchal,HarshvadanR.","1"
"Rani,A.Durga","1"
"Kanchan,DineshKumar","1"
"Jain,Shubhra","1"
"Choi,Seogou","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
