Scopus - Analyze author output

"Author name:","Kannan, Krishna"
"Scopus author ID:","24166982200"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Rajagopal,KumbakonamRamamani","16"
"Gnanamoorthy,R.","4"
"Timmaraju,MallinaVenkata","4"
"Rao,I.Joga","2"
"Mohankumar,K.V.","2"
"Alagappan,P.","2"
"Varkey,Bijo","2"
"Fasano,Antonio","1"
"Mancini,Alberto","1"
"Abhilash,P.M.","1"
"Paul,Edwin","1"
"Kaisare,NiketS.","1"
"Anandhan,M.","1"
"Sandeep,R.K.","1"
"Gnanamoorthy,Rajappa","1"
"Ramkumar,A.","1"
"Saccomandi,Giuseppe","1"
"Fetecǎu,Constantin","1"
"Kambapalli,M.","1"
"Monigari,Karthik","1"
"Shankar,KrishnapillaiK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
