Scopus - Analyze author output

"Author name:","Manivannan, Pudureddiyur Venkataraman"
"Scopus author ID:","55369462900"

"Co-authors:","25"

"Co-author","Co-authored documents"

"Ramesh,AsvathanarayananA.","6"
"Singaperumal,Makaram","4"
"Singh,BajwaRoodraPratap","3"
"Sahu,RavindrakumarKumar","3"
"Hiremath,SomashekharS.","2"
"Beckerle,Philipp","2"
"Lendermann,M.","1"
"Babu,MuthukrishnaKanthaGajendra","1"
"Nalam,Varun","1"
"Sen,A.K.","1"
"Kumar,NirajSuresh","1"
"Loganathan,Marimuthu","1"
"Rinderknecht,Stephan","1"
"Sajeesh,P.","1"
"Gupta,Aakash","1"
"George,DeepaElizabeth","1"
"Prakash,RajatSRam","1"
"Kumar,Davinder","1"
"Dhinagar,SamrajJabez","1"
"Somashekhar,S.Hiremath","1"
"Suresh,Paramasivam","1"
"Stuhlenmiller,F.","1"
"Vishal,Dayalan","1"
"Poola,RameshB.","1"
"David,Jennifer","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
