Scopus - Analyze author output

"Author name:","Mittal, Mayank K."
"Scopus author ID:","54886895600"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Schock,HaroldSchock","13"
"Zhu,Guoming","7"
"Hung,David","4"
"Winnie,Peter","3"
"Ahmad,Zulfequar","3"
"Donahue,RonJ.","3"
"Ibrahim,MounirB.","2"
"Sadr,Reza","2"
"Simon,TerrenceW.","2"
"Kumar,ShashiSiva","2"
"Vedula,Ravi","2"
"Varun","2"
"Stuecken,TomR.","2"
"Gupta,AkhileshVSSKS","2"
"Gillette,AllenD.","2"
"Kumar,Ravi","2"
"Saini,RashmiP.","1"
"Singal,SavitaK.","1"
"Naqwi,AmirA.","1"
"Dwivedi,DheerendraKumar","1"
"Kothyari,UmeshChandra","1"
"Ghanekar,V.K.","1"
"Goyal,B.K.","1"
"Sharma,S.P.","1"
"Varun","1"
"Athar,MohdSajjad","1"
"Fedewa,AndrewM.","1"
"Naguib,AhmedM.","1"
"Gedeon,DavidR.","1"
"Bhal,N.S.","1"
"Kumar,SudhirSundar","1"
"Varshney,L.","1"
"Shukla,ShyamN.","1"
"Jiang,Nan","1"
"Jain,BhartiC.","1"
"Ahmad,Jameel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
