Scopus - Analyze author output

"Author name:","Narasimhan, Arunn"
"Scopus author ID:","6701334831"

"Co-authors:","38"

"Co-author","Co-authored documents"

"Lage,JoséL.","11"
"Reddy,B.VK","6"
"Jha,KaushalKumarUmar","6"
"Paul,AnupJ.","5"
"Das,SaritK.","5"
"Raju,KasiSumithra","3"
"Pornealǎ,DanCǎtalin","3"
"Ramana,P.V.","3"
"Sundarraj,C.","3"
"Nield,D.A.","3"
"Rees,DavidAndrewS","2"
"Ramanan,Natarajan","2"
"Vishnampet,Ramanathan","2"
"Wilson,LorenC.","2"
"Venkateshan,SomasundaramP.","2"
"Babu,ViswanathanT.","2"
"Chatterjee,Dhiman","2"
"Akhilesh,R.","1"
"Shrot,Aviral","1"
"Jamalud-Din,SherifullD.","1"
"Velusamy,K.","1"
"Natesan,Ken","1"
"Sengupta,Soujit","1"
"Chakravarthy,SatyanarayananR.","1"
"Somani,Ankit","1"
"Bandaru,NandaKishor","1"
"Sundararajan,Thirumalachari","1"
"Balaji,ChakravarthyDinesh","1"
"Karra,Satish","1"
"Pradeep,ThalappilP.","1"
"Gopal,Lingam","1"
"Sadasivam,Sridhar","1"
"Dhar,Purbarun","1"
"Nagose,Atul","1"
"Krueger,PaulS.","1"
"Bhave,Prasad","1"
"Williams,DanielJ.","1"
"Joseph,Ajith","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
