Scopus - Analyze author output

"Author name:","Natarajan, Sundararajan"
"Scopus author ID:","35077744000"

"Co-authors:","85"

"Co-author","Co-authored documents"

"Bordas,StéphanePierreAlain","24"
"Ganapathi,Manickam","16"
"Song,Chongmin","10"
"Rabczuk,Timon","9"
"Ooi,E.T.","7"
"Haboussi,Mohamed","5"
"Kerfriden,Pierre","5"
"Sankar,A.","5"
"Carrera,Erasmo","4"
"Prakash,TirthalliL.","4"
"Cinefra,Maria","4"
"Nguyen-Xuan,H.","3"
"Venkatachari,AnandK.","3"
"Mahapatra,DebiprosadRoy","3"
"Manickam,Ganapathi","3"
"Baíz,PedroM.","3"
"Ferreira,AntónioJoaquimMendes","3"
"Ramajeyathilagam,K.","3"
"Belouettar,Salim","3"
"RoyMahapatra,D.R.","2"
"González-Estrada,OctavioAndres","2"
"Herath,ManudhaT.","2"
"Chakraborty,Shaunak","2"
"McCarthy,ConorT.","2"
"Prusty,B.Gangadhara","2"
"Cahill,L.MA","2"
"Tin-Loi,Francis","1"
"Birk,Carolin","1"
"Zi,Goangseup","1"
"Gholami,A.","1"
"Guo,Zaoyang","1"
"Merzouki,Tarek","1"
"Zenkour,AshrafM.","1"
"Rodrigues,JaimeD.","1"
"Nguyen,VinhPhu","1"
"Nguyen,HungX.","1"
"Minh,Q.D.","1"
"Long,Danbing","1"
"Rahimabadi,AhmadAkbari","1"
"Ródenas,J.J.","1"
"IlyaniAkmar,IlyaniAkmarAbu","1"
"Makradi,Ahmed","1"
"Dornisch,Wolfgang","1"
"Thangavel,M.","1"
"Augarde,CharlesEdward","1"
"Subramanian,MahalakshmiEP","1"
"Wang,Junchao","1"
"St.John,NigelA.","1"
"Liu,Xila","1"
"Ortiz-Bernardin,Alejandro","1"
"Francis,Amrita","1"
"Valizadeh,Navid","1"
"Quan,DoMinh","1"
"Rahman,S.S.","1"
"Le,Phong","1"
"Man,Hou","1"
"Muthu,Jacob","1"
"Chiong,Irene","1"
"BenZineb,Tarak","1"
"Mana,Hou","1"
"O'Higgins,R.M.","1"
"Deogekar,PratikS.","1"
"Bog,Tino","1"
"Simpson,RobertN.","1"
"Li,Chao","1"
"Hiep,NguyenVinh","1"
"Msekh,MohammedA.","1"
"Xiang,Tingsong","1"
"Bui,TinhQuoc","1"
"Pramod,A.LN","1"
"Gao,Wei","1"
"Song,Chongmin","1"
"Nguyen-Vinh,H.","1"
"Younès,AnisYH","1"
"Ooi,Eanhin","1"
"Gravenkamp,Hauke","1"
"Liu,Guirong","1"
"Ooi,Eanhin","1"
"Ooi,Eantat","1"
"Lahmer,Tom","1"
"Ferreira,Ana","1"
"Bouhala,Lyazid","1"
"Pont,StefanoDal","1"
"Song,Jeonghoon","1"
"John,NigelSt","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
