Scopus - Analyze author output

"Author name:","Panigrahi, Sushanta Kumar"
"Scopus author ID:","23470026700"

"Co-authors:","32"

"Co-author","Co-authored documents"

"Jayaganthan,R.","19"
"Mishra,RajivS.","7"
"Immanuel,R.J.","4"
"Yuan,Wei","4"
"FaseeullaKhan,Md","4"
"Devanand,D.","2"
"Pancholi,Vivek","2"
"Davis,BruceA.","2"
"DeLorme,RickD.","2"
"Cho,Kyu","2"
"JanakiRam,G.DJanaki","2"
"Shunmugam,M.S.","2"
"Howell,RyanA.","2"
"Argade,G.R.","2"
"Babu,S.S.","2"
"Dhal,A.","2"
"Chawla,Vipin","1"
"Verma,RaviC.","1"
"Sahoo,B.N.","1"
"Brokmeier,HeinzGünter","1"
"Meenia,Sumit","1"
"Nageswararao,P.NageswaraVRSSVPrasada","1"
"Singh,SandeepKumar","1"
"Kumar,NileshSanjeev","1"
"Guru,P.R.","1"
"Kandasamy,Kumar","1"
"Su,Jianqing","1"
"Kumar,KunigalNShiva","1"
"Ram,GabbitaDurgaJanaki","1"
"Gupta,ManojManoj","1"
"Schwebke,Bernd","1"
"Mohan,Aruna","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
