Scopus - Analyze author output

"Author name:","Pattamatta, Arvind"
"Scopus author ID:","25321036800"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Das,SaritK.","13"
"Dhar,Purbarun","7"
"Madnia,CyrusK.","6"
"Savithiri,S.","3"
"Negi,DeepchandSingh","3"
"Stephan,PeterC.","3"
"Chattopadhyay,AnkurB.","3"
"Mongia,HukamC.","2"
"Siva,V.Manoj","2"
"Chinige,SampathKumar","2"
"Ghanta,Nikhilesh","2"
"ManojSiva,V.","2"
"Singh,Ghanshyam","2"
"Katiyar,Ajay","2"
"SivaV.,Manoj","1"
"Ansari,MohammadHasanDad","1"
"Madniay,CyrusK.","1"
"SenGupta,Soujit","1"
"Kumar,ChinigeSampath","1"
"MahendranathReddy,G.V.","1"
"Dilawar,Mahendra","1"
"Sengupta,Soujit","1"
"Freystein,Martin","1"
"Chakraborty,Saikat","1"
"Joshi,Pranit","1"
"Balaji,ChakravarthyDinesh","1"
"Sielaff,Axel","1"
"Gupta,SoujitSenEn","1"
"Godi,SangameshC.","1"
"Maganti,LakshmiSirisha","1"
"Pradeep,ThalappilP.","1"
"Ansu,U.","1"
"Recklin,Viktor","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
