Scopus - Analyze author output

"Author name:","Reddy, K. Srinivasa"
"Scopus author ID:","56972649100"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Mallick,Tapas","1"
"Kumar,BhuvaneshRavi","1"
"Baig,Hasan","1"
"Aravamudan,Kannan","1"
"Philip,LigyK.","1"
"Harikumar,Varun","1"
"Bhallamudi,S.Murty","1"
"Shanks,Katie","1"
"Senthilarasu,Sundaram","1"
"Singh,N.Premjit","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
