Scopus - Analyze author output

"Author name:","Samuel, G. L."
"Scopus author ID:","7005273399"

"Co-authors:","28"

"Co-author","Co-authored documents"

"Shunmugam,M.S.","8"
"Suresh,Ram","5"
"Basavarajappa,Sathyappa","5"
"Giridharan,Abimannan","4"
"Murugarajan,A.","3"
"Gaitonde,VinayakNeelakanth","3"
"Yang,Seunghan","3"
"Rajamohan,G.","3"
"Ashok,SylvesterDenis","2"
"DenisAshok,S.","1"
"Darwin,M.","1"
"Sainath,Adapa","1"
"Ramalingam,Meenakshi","1"
"Dhake,HarshalG.","1"
"Janardhan,V.","1"
"Srinivasan,GopalaKrishna","1"
"Kalyan,C.","1"
"Yang,Seungho","1"
"Bhagat,AjayP.","1"
"Vasa,NileshJayanthilal","1"
"Denis,S.A.","1"
"Hemanth,Gangarapu","1"
"Jagadesh,T.","1"
"Ginoria,Shrey","1"
"Davim,J.P.","1"
"Kim,Youngsuk","1"
"AravindKrishnan,S.","1"
"Barkovski,IgorDunin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
