Scopus - Analyze author output

"Author name:","Sen, A. K."
"Scopus author ID:","12647023800"

"Co-authors:","57"

"Co-author","Co-authored documents"

"Darabi,Jeff","13"
"Knapp,DanielR.","10"
"Sajeesh,P.","8"
"George,DeepaElizabeth","4"
"Raj,A.","4"
"Bhardwaj,Priyank","4"
"Nayak,Ranu","3"
"Damodara,Sreekant","3"
"Banerjee,Utsab","3"
"Chandra,T.S.","3"
"Bagdi,Piyush","3"
"Sahu,PankajKumar","2"
"Kumar,NirajSuresh","2"
"Maria,M.Sneha","2"
"Jayaprakash,K.S.","2"
"Liu,Jian","2"
"Anoop,R.","2"
"Golia,Aakash","2"
"Doble,Mukesh","2"
"Kumar,BinodS.","2"
"Karthick,S.","1"
"Morgan,Hywel","1"
"Prabhakar,Amit","1"
"Shivhare,P.K.","1"
"Muruganandam,ThiruchengodeM.","1"
"Annabattula,RatnaKumar","1"
"George,Derosh","1"
"Jan,Clausen","1"
"Iqbal,R.","1"
"Bhadra,A.","1"
"Roy,RahulDutta","1"
"Samy,RazimA.","1"
"Chakravarthy,SatyanarayananR.","1"
"Mowlem,MatthewCharles","1"
"Pramod,K.","1"
"Shet,U.SPremananda","1"
"Halder,Raghu","1"
"Chander,Subhash","1"
"SnehaMaria,M.","1"
"Singh,ShivGovindOvind","1"
"Manivannan,PudureddiyurVenkataraman","1"
"Raghavan,Vasudevan","1"
"Parayil,Sajeesh","1"
"Rajappan,Anoop","1"
"Iyer,V.","1"
"Kemprai,P.","1"
"Goet,Gabriele","1"
"Baier,Tobias","1"
"Barman,Ujjal","1"
"Surya,HarishPalaniNaga","1"
"Harvey,Tom","1"
"Mishra,SubhashC.","1"
"Rakesh,P.E.","1"
"Reddy,S.P.","1"
"Manasi,S.","1"
"Hardt,Steffen","1"
"Sharma,AshishS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
