Scopus - Analyze author output

"Author name:","Shankar, Krishnapillai K."
"Scopus author ID:","56003156900"

"Co-authors:","31"

"Co-author","Co-authored documents"

"Ganesan,Natrajan","13"
"Nandakumar,Pratap","7"
"Biju,B.","6"
"Daga,Atul","4"
"Kondaiah,Paturu","3"
"Machavaram,Rajendra","3"
"Varghese,CibuK.","3"
"Sandesh,Swetha","3"
"SudheeshKumar,C.P.","2"
"Kumar,RajeshKishore","2"
"Rajendra,M.","2"
"Sujatha,ChM.","2"
"Sharma,AnandKumar","1"
"Batra,Amit","1"
"Paul,Edwin","1"
"Radhakrishnan,GurusubrahmaniyanS.","1"
"Jayaraman,Srinivas","1"
"Sahua,AbhishekKumar","1"
"George,SunnyK.","1"
"Suresh,PrashanthS.","1"
"Kumar,C.PSudheesh","1"
"Swarnamani,Seetharaman","1"
"Jinesh,N.","1"
"Sekhar,ArchanaSoma","1"
"Veeramuthuvel,P.","1"
"Sandesha,S.","1"
"AthiSankar,P.","1"
"Kannan,Krishna","1"
"Sujatha,Chandramohan","1"
"Babu,MohanJanardhana","1"
"Annadurai,Mylswamy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
