Scopus - Analyze author output

"Author name:","Shunmugam, M. S."
"Scopus author ID:","7006246829"

"Co-authors:","71"

"Co-author","Co-authored documents"

"RADHAKRISHNAN,VelloreMargabandhu","13"
"Samuel,G.L.","8"
"Kumar,JagadeeshaSuresh","6"
"BhaskaraReddy,S.V.","5"
"Mohan,L.V.","5"
"Kannan,ThangavelR.","5"
"Jayaprakash,V.","4"
"Gangadhar,A.","4"
"Kanthababu,M.","4"
"Srinivasa,Y.V.","4"
"Singaperumal,Makaram","4"
"Philip,PeterK.","4"
"Srinivasan,NaganS.","4"
"Rajamohan,G.","4"
"Kuriakose,Shajan","4"
"Narendran,T.T.","4"
"Venkaiah,Nasina","3"
"SubramanyaUdupa,N.G.","3"
"Sankaranarayanasamy,K.","3"
"Udupa,N.GSubramanya","3"
"Saikumar,Swaminathan","3"
"Mathews,P.G.","3"
"Lingadurai,K.","3"
"SafaSadiq,Ali","3"
"Baburaj,M.","2"
"Panigrahi,SushantaKumar","2"
"Kumar,SandeepSai","2"
"Namboothiri,V.NNarayanan","2"
"Ramaswamy,N.","2"
"Beg,J.","2"
"Kaul,InduK.","2"
"Rahamathullah,I.","2"
"SubbaRao,B.","2"
"SuryaNarayana,S.VR","2"
"Hilal,A.MN","2"
"Ghosh,A.","2"
"Sharma,DineshKumar","2"
"Rao,P.KRamakrishna","2"
"SivaPrasad,N.","2"
"RamakrishnaRao,P.K.","2"
"NarayananNamboothiri,V.N.","2"
"Badiger,I.K.","2"
"Dhal,A.","2"
"Chellapandi,Perumal","1"
"MuraliKrishna,MaddaliVS","1"
"Venkat,Vidhya","1"
"Gondhalekar,D.Y.","1"
"Ramya,M.","1"
"Radhkarishnan,V.","1"
"Deshpande,G.N.","1"
"Aithal,Sriramachandra","1"
"Pandit,SudhakarM.","1"
"Prasad,NareshSiva","1"
"Balasubramaniam,KrishnanS.","1"
"Mahesh,PunetiUma","1"
"Rao,Siddharth","1"
"Reddy,T.Srikanth","1"
"Shunmugam,M.S.","1"
"Biju,C.V.","1"
"Mohan,KamalV.","1"
"Jose,JobinVinodh","1"
"Dhanish,P.B.","1"
"Rajamani,G.P.","1"
"Rao,Kalvalaprasad","1"
"Patel,SujanV.","1"
"Ravisubramanian,S.","1"
"Kumaraswamy,U.","1"
"Somasundaram,G.","1"
"Srinivasan,Sujatha","1"
"Mathew,P.G.","1"
"Rameshbabu,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
