Scopus - Analyze author output

"Author name:","Somashekhar, S. Hiremath"
"Scopus author ID:","12795098200"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Singaperumal,Makaram","4"
"KrishnaKumar,RamarathnamKrishna","3"
"Lijo,Paul","1"
"Arun,K.V.","1"
"Jagannatha,N.","1"
"Manivannan,PudureddiyurVenkataraman","1"
"Sanghvi,V.Sakthi","1"
"Sadashivappa,Kanakuppi","1"
"Raju,LeeraSuvarna","1"
"Sahu,RavindrakumarKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
