Scopus - Analyze author output

"Author name:","Srinivasan, Balaji S."
"Scopus author ID:","9639081600"

"Co-authors:","148"

"Co-author","Co-authored documents"

"Flannick,JasonA.","7"
"Batzoglou,Serafim","7"
"Dutta,Rabijit","6"
"Novak,AntalF.","6"
"Dewan,Anupam","6"
"Sibon,OdyCM","4"
"Jameson,Antony","3"
"Hickman,JamesJ.","3"
"Patterson,AileenScott","3"
"Haque,ImranS.","3"
"Kumar,VikasVijayaKSrinivas","3"
"McAdams,HarleyH.","3"
"Marshall,JohnR.","3"
"Chaudhary,Sudhakar","3"
"Do,ChuongB.","3"
"Evans,EricA.","3"
"Shuler,MichaelLouis","3"
"Jacobson,JessicaL.","3"
"Esch,MandyBrigitte","3"
"Hayflick,SusanJ.","3"
"Patrizio,Pasquale","3"
"Sinha,SawanSuman","2"
"Danish,Mohammad","2"
"Bernabini,Catia","2"
"Rana,AnilC.","2"
"Seltzer,WilliamK.","2"
"Srivastava,Vimal","2"
"May,Georg","2"
"Reijngoud,DirkJanAn","2"
"Iori,Kevin","2"
"Nollen,EllenAA","2"
"Lazarin,GabrielA.","2"
"Siudeja,Katarzyna","2"
"Nazareth,ShivaniB.","2"
"McLamb,WilliamTroy","2"
"Krishnamoorthy,Srikanth","1"
"Colombelli,Cristina","1"
"Sung,Jonghwan","1"
"Martens,AndrewT.","1"
"Li,Jun","1"
"Ready,KayleneJ.","1"
"Absher,DevinM.","1"
"Chen,Yuan","1"
"Lee,C.LG","1"
"Santhanam,Navaneetha","1"
"Kosec,Gregor","1"
"Fridley,BrookeL.","1"
"Kudaravalli,Sridhar","1"
"Duan,Shiwei","1"
"Jackson,Max","1"
"Lee,James","1"
"Cotovio,José","1"
"Mohandessi,Sharareh","1"
"Grzeschik,NicolaA.","1"
"Li,Lang","1"
"Feldman,MarcusWilliam","1"
"Ouédraogo,Gladys","1"
"Garza,AnthonyG.","1"
"Davis,RonaldW.","1"
"Young,Sharon","1"
"Wang,Justin","1"
"Schaap,Onno","1"
"Kayser,Oliver","1"
"Najjar,Sarah","1"
"Absalan,Farnaz","1"
"Yoon,Sukgoo","1"
"VanDerZwaag,Marianne","1"
"Pham,Tuan","1"
"Cheng,Cheng","1"
"Ritchie,MarylynD.","1"
"VanDerWant,JohannesJL","1"
"Tengra,FarahK.","1"
"Lambrechts,RoaldA.","1"
"Kumar,VivekNaveen","1"
"Arkin,AdamPaul","1"
"DeJong,JannieCF","1"
"Ronaghi,Mostafa","1"
"Viollier,PatrickHenri","1"
"Shah,Radhika","1"
"Novembre,JohnA.","1"
"Pritchard,JonathanK.","1"
"Martin,Candace","1"
"Kanon,Bart","1"
"Sanford,LynnPhilip","1"
"Petkovič,Hrvoje","1"
"Cai,Yunqing","1"
"Bigdeli,Saharnaz","1"
"Laub,MichaelT.","1"
"Perchuk,BarrettS.","1"
"Province,MichaelA.","1"
"Smith,AlecST","1"
"Kolli,AdityaReddyEddy","1"
"Welch,RoyD.","1"
"Abeliuk,Eduardo","1"
"Crosson,SeanM.","1"
"Kaushal,Amit","1"
"Kraja,AldiT.","1"
"Wang,Dai","1"
"Doostzadeh,Jaleh","1"
"Parashar,Nishant","1"
"Suen,Garret","1"
"Ramanarayanan,Panchapakesan","1"
"Ekman,Gail","1"
"Caberoy,NoraBlanca","1"
"Akanda,Nesar","1"
"Langston,JamesWilliam","1"
"Suman,SawanK.","1"
"Srivastava,VimalChandra","1"
"Breton,Lionel","1"
"Agarwal,Manish","1"
"Abaci,HasanErbilRbil","1"
"Baratashvili,Madina","1"
"Clemens,BruceM.","1"
"Goldman,BarryS.","1"
"Taylor,RionG.","1"
"Xu,Lanjun","1"
"Langer,Jessica","1"
"Berry,BonnieJ.","1"
"Pickrell,JosephK.","1"
"Jalili,Roxana","1"
"Mahadevan,Jaydev","1"
"Podgoršek,Ajda","1"
"Jorgenson,EricM.","1"
"Guo,Xiufang","1"
"Oleaga,Carlota","1"
"Shah,NigamHaresh","1"
"Tsokos,ChristosG.","1"
"Barsh,GregoryS.","1"
"Jackowski,SuzanneC.","1"
"Chen,Jinbo","1"
"Gu,Xiangjun","1"
"Seinen,Erwin","1"
"Muntendam,Remco","1"
"Haines,JonathanL.","1"
"Chang,ChristopherC.","1"
"Rodin,AndréiS.","1"
"Lasky-Su,JessicaA.","1"
"Boutte,CaraC.","1"
"Platt,Vivien","1"
"Gora,KasiaG.","1"
"Cho,Kyeongjae","1"
"Singh,BhupinderP.","1"
"Bridges,Richard","1"
"Myers,RichardM.","1"
"Coop,GrahamM.","1"
"Tiranti,Valeria","1"
"Conti,DavidV.","1"
"Narsipur,SriramS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
