Scopus - Analyze author output

"Author name:","Srinivasan, K."
"Scopus author ID:","56929666000"

"Co-authors:","58"

"Co-author","Co-authored documents"

"Sundararajan,Thirumalachari","19"
"Narayanan,SrihariShankaraYegna","15"
"Jothi,T.JSarvoththama","12"
"Rathakrishnan,Ethirajan","9"
"Raman,GaneshG.","9"
"Panickar,Praveen","7"
"Raghavan,Vasudevan","4"
"Dhamanekar,Abhijit","4"
"Tide,P.S.","3"
"Elangovan,ShanmugamPalani","3"
"Ashokkumar,R.","2"
"Williams,DavidR.","2"
"Kim,Byunghun","2"
"Kanthasamy,C.","2"
"Bhargav,VikasN.","2"
"Sankaran,S.","2"
"Chakraborty,DebabrataK.","2"
"Balakrishnan,P.","2"
"Singh,Sanjay","2"
"Anerao,Nitesh","2"
"Behera,Bholanath","2"
"BoopathiSabareesh,V.","2"
"Ramamurthi,Kandasamy","2"
"Suresh,P.R.","2"
"Sreejith,G.J.","1"
"Ramachandran,RakeshChandran","1"
"Varun,R.","1"
"Dougherty,RobertPatrick","1"
"Sharma,O.P.","1"
"Sreejith,G.J.","1"
"Prabhu,SiddiniV.","1"
"Raman,Ganesh","1"
"Sawarkar,Pravin","1"
"Susanta,B.","1"
"Shet,U.SPremananda","1"
"Srinivasan,KavithaN.","1"
"Anand,KrishnanS.","1"
"Hartmann,Martin","1"
"Kumar,B.Rajesh","1"
"Sridharan,K.","1"
"Gupta,Pradeep","1"
"Sahasrabudhe,A.D.","1"
"Bellidega,KrishnaChaitanya","1"
"Shrivastava,A.","1"
"Nagendra,J.","1"
"RohitSarma,C.SLV","1"
"Dang,M.","1"
"Vidyasagar,G.Chiranjeevi","1"
"Joshi,RahulG.","1"
"Das,SaritK.","1"
"Sabareesh,V.Boopathi","1"
"Chandiramani,NareshK.","1"
"Usha,Ramamoorthy","1"
"Bhave,Prasad","1"
"Thakur,GunjanS.","1"
"Dewan,Anupam","1"
"Manikantachari,K.RV","1"
"Das,S.K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
