Scopus - Analyze author output

"Author name:","Srinivasu, Devadula S."
"Scopus author ID:","21234528700"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Axinte,DragosA.","8"
"Kong,Mingchu","3"
"RameshBabu,N.","2"
"Hon,Bernard","1"
"Billingham,John","1"
"Voice,WayneE.","1"
"Butler-Smith,PaulW.","1"
"Shipway,PhilipH.","1"
"Singh,NgangkhamPeter","1"
"Folkes,JanetA.","1"
"Cooper,MickC.","1"
"McGourlay,Jamie","1"
"Babu,NimmagaddaRamesh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
