Scopus - Analyze author output

"Author name:","Tiwari, Shaligram B."
"Scopus author ID:","16032246100"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Jayavel,S.","9"
"Biswas,Gautam","7"
"Maiya,M.Prakash","7"
"Rao,Boggarapunageswara","6"
"Patil,PratishP.","5"
"Harikrishnan,L.","4"
"Eswaran,Vinayak","3"
"Maurya,D.","3"
"Nishino,Koichi","3"
"Sundararajan,Thirumalachari","3"
"Mohan,BhageshvarShaji","2"
"Prasad,P.LN","2"
"Swamy,N.Shivakumar","2"
"Sai,K.S.","2"
"Raghavan,Vasudevan","2"
"Muthurajan,K.G.","2"
"Saha,ArunK.","2"
"Vamsee,G.Raghu","2"
"Nataraja,H.R.","2"
"Sankaranarayanasamy,Krishnasamy","2"
"Babu,N.Seshu","2"
"Diwakar,S.V.","2"
"Wohlfeil,Arnold","1"
"Yadu,KamalKant","1"
"MansoorAli,Seik","1"
"Velusamy,K.","1"
"Kadam,Swapnil","1"
"Ziegler,FelixF.","1"
"Pillai,KrishnaMadhavanC","1"
"GangaPrasath,SrinivasaGopalakrishnan","1"
"Naik,Hemant","1"
"DeTena,MariaLuca","1"
"VinodhKumar,V.","1"
"Panigrahi,PradiptaKumar","1"
"Mithun,M.G.","1"
"Sudharsan,M.","1"
"Manoor,PrakashMaiya","1"
"Cr,Aniraj","1"
"Das,SaritK.","1"
"Sen,Mihir","1"
"Singh,JagmohanG.","1"
"Mehta,RakhabCS","1"
"Ghaisas,Gautam","1"
"Basu,Sudipta","1"
"Chakraborty,Debapriya","1"
"Ali,SeikMansoor","1"
"Deepakkumar,R.","1"
"Shajimohan,B.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
