Scopus - Analyze author output

"Author name:","Venkatarathnam, G."
"Scopus author ID:","7004012447"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Murthy,SrinivasaSrinivasaN","6"
"SrinivasaMurthy,S.","5"
"Krishnakumar,K.","4"
"Sarangi,SunilKu","3"
"SrinivasaMurthy,S.","2"
"Rakhesh,B.","2"
"Oellrich,LotharRainer","2"
"LakshmiNarasimhan,N.","2"
"Narayanan,SatishPradeep","2"
"PradeepNarayanan,S.","2"
"Narasimhan,NarayaniLakshmi","2"
"GurudathNayak,H.","2"
"Gardas,RameshL.","2"
"Rakesh,B.","1"
"Ramesh,BabuN.","1"
"Prasad,BhamidiVSSS","1"
"Mokashi,Girish","1"
"ChaitanyaPrasad,G.S.","1"
"HarishKruthiventi,S.S.","1"
"SureshKumar,C.","1"
"John,AnishK.","1"
"SrinvasaMurthy,S.","1"
"Boopalan,M.","1"
"Ramesh,PalanisamyGV","1"
"Swarnkar,SumitK.","1"
"Coronas,Alberto","1"
"Bhanumurthy,KaranamAditya","1"
"RajeshReddy,K.","1"
"Dheeraj,G.","1"
"Chakravarthy,VijayaraghavanS.","1"
"Shah,RameshK.","1"
"Pasad,G.V.","1"
"Sharma,Gyanendra","1"
"Ramamurthi,Kandasamy","1"
"Meher,R.Satya","1"
"Kumar,KrishnaPalaniVinod","1"
"Kumar,ShobhitPrasanth","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
