Scopus - Analyze author output

"Author name:","Vijayaraghavan, L."
"Scopus author ID:","6603559893"

"Co-authors:","58"

"Co-author","Co-authored documents"

"Krishnamurthy.,Ramalingam","31"
"Ramamoorthy,B.","14"
"Thakur,DineshG.","14"
"Malhotra,SantaKumar","10"
"Mayuram,M.M.","6"
"Arul,SivasankarP.","5"
"Rajakumar,Sundaram","5"
"Raju,MandhapatiPraveen","4"
"Madhavan,Srinivasagopalan","4"
"Sivaraman,V.","4"
"Kamaraj,Malmurugan","4"
"Ananth,MVV.","4"
"Mathew,NithinTom","3"
"Varadarajan,Y.S.","3"
"Balan,A.SS","3"
"AnandRonald,B.","3"
"Arunachalam,N.","3"
"Sankaran,SundaramP.","3"
"Rao,U.RK","3"
"Ronald,B.Anand","2"
"Giridhar,D.","2"
"Krishnamurthy,R.","2"
"Kakade,Sunilkumar","2"
"Majeed,M.A.","2"
"Sajeev,V.","2"
"ArulSaravanapriyan,S.N.","2"
"Karthikeyan,S.","2"
"Krishnamoorthy,R.","2"
"Chandrasekaran,Hariharan","2"
"SrinivasaRao,KandulaV.","2"
"RajaKumar,S.","1"
"Sankaran,S.","1"
"Deivanathan,R.","1"
"Gopalakrishnan,V.K.","1"
"Rao,U.Srinivas","1"
"Chidambaram,E.L.","1"
"Vasudevan,S.","1"
"Oyyaravelu,Ramachandran","1"
"Bhanuprasad,VelidandlaVenkata","1"
"Raj,DeepakSamuel","1"
"Ezhilmaran,V.","1"
"Majeed,M.Abdul","1"
"Saravanapriyan,S.NA","1"
"Anil,S.G.","1"
"DeivaNathan,R.","1"
"Jayaprakash,K.","1"
"Kumar,KrishnanTulasi","1"
"Vasa,NileshJayanthilal","1"
"Madhavan,S.","1"
"Rajakumar,I.PaulTheophilus","1"
"Reddy,KommidiSantosh","1"
"Hariharan,Pillai","1"
"Varatharajan,R.","1"
"Almeida,A.","1"
"Kuppan,P.","1"
"Cherian,N.K.","1"
"Nathan,R.Deiva","1"
"Ganesan,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
