Scopus - Analyze author output

"Author name:","Amirthalingam, Murugaiyan"
"Scopus author ID:","26026798600"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Richardson,I.M.","19"
"Hermans,MarcelJosephMarie","14"
"Huizenga,RichardM.","13"
"Dutta,R.K.","12"
"Gao,Hongkai","10"
"King,Andrew","7"
"Hermans,MacelJM","4"
"Buslaps,Thomas","3"
"Offerman,S.Erik","3"
"VanDerAa,E.M.","2"
"Sietsma,Jilt","2"
"Petrov,RoumenH.","1"
"Sharma,H.N.","1"
"M.Hermans,M.J.","1"
"Wattjes,AlixC.","1"
"Gundlach,Carsten","1"
"DenUijl,NickJ.","1"
"King,A.","1"
"Geerlofs,Nico","1"
"Zuidwijk,Thim","1"
"Zhao,Lie","1"
"Kwakernaak,Cees","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
