Scopus - Analyze author output

"Author name:","Bakshi, Srinivasa Rao"
"Scopus author ID:","24177950800"

"Co-authors:","82"

"Co-author","Co-authored documents"

"Agarwal,ArvindB.","35"
"Keshri,AnupKumar","11"
"Lahiri,Debrupa","10"
"Balani,Kantesh","9"
"Singh,VirendraV.","8"
"Seal,Sudipta","8"
"Murty,BudarajuSrinivasa","7"
"Chen,Yao","6"
"Karthiselva,N.S.","6"
"Harimkar,SandipP.","5"
"Pramod,S.L.","4"
"Laha,Tapas","4"
"Murty,S.VSNarayana","4"
"Nayan,Niraj","4"
"Shukla,AnoopK.","4"
"Tercero,JorgeE.","3"
"Sharma,SaritaC.","3"
"GrahamMcCartney,Graham","3"
"Chandran,Prathap","3"
"Virzi,DavidA.","2"
"Patel,RikenR.","2"
"Haridoss,Prathap","2"
"Singh,AshishKumar","2"
"JanakiRam,G.DJanaki","2"
"Jagannatham,M.","2"
"George,KoshyMariamma","2"
"Musaramthota,Vishal","2"
"Kamaraj,Malmurugan","2"
"Debalina,B.","1"
"Karthikeyan,Jeganathan","1"
"Deshpande,AbhijitP.","1"
"Khaleghi,Evan","1"
"Sam,Srimanta","1"
"Kos,Lidia","1"
"Jojibabu,Panta","1"
"Sirimuvva,Tadepalli","1"
"Patra,PradipK.","1"
"SekharTiwary,Chandra","1"
"Bhargava,Akanksha","1"
"Sribalaji,M.","1"
"Rodrigues,GiovaniRitta","1"
"Mondal,Kallol","1"
"Rouzaud,François","1"
"Levy,Cesar","1"
"Mukherjee,Biswajyoti","1"
"Singhai,Mrigandra","1"
"Sudarshan,T.S.","1"
"Li,Wei","1"
"Raj,Baldev","1"
"Gallas,MárciaRussman","1"
"Mohammadizadeh,Seyedreza","1"
"Olevsky,EugeneAl","1"
"Mungole,Tarang","1"
"Richard,Tanisha","1"
"Shipway,PhilipH.","1"
"Ravikirana","1"
"Tsukanov,Igor","1"
"Batista,RubenGaliano","1"
"Pant,Bhanu","1"
"Roy,AjitK.","1"
"Lalia,T.","1"
"Wang,Di","1"
"Liu,Yuming","1"
"Rajeev,G.P.","1"
"Rao,A.KPrasada","1"
"Brunetto,Gustavo","1"
"Vasanthakumar,K.","1"
"Zhang,Deen","1"
"Venkitakrishnan,P.V.","1"
"Galvão,DouglasS.","1"
"Vaishakh,N.","1"
"Özden,Şehmus","1"
"Vinu,R.","1"
"Mudali,UthandiKamachi","1"
"Hazra,SujoyS.","1"
"AsiqRahman,O.S.","1"
"Li,Xiaohua","1"
"PrasadaRao,A.KPrasada","1"
"Costa,TâniaMariaHaas","1"
"Price,TimothyS.","1"
"Pasumarthi,Venkata","1"
"Ajayan,PulickelM.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
