Scopus - Analyze author output

"Author name:","Balasubramanian, M."
"Scopus author ID:","55656181100"

"Co-authors:","11"

"Co-author","Co-authored documents"

"Lodhe,Mangesh","2"
"SubramanyaSarma,Vadlamani","1"
"Selvam,A.","1"
"Chawake,Niraj","1"
"Babu,Narendra","1"
"HariKumar,K.C.","1"
"AralMozhiVarman,J.P.","1"
"Yadav,Devinder","1"
"RaviSankar,K.","1"
"Kennedy,AlexanderXavier","1"
"Kavitha,NijagalShanthaveeraradhya","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
