Scopus - Analyze author output

"Author name:","Bauri, Ranjit"
"Scopus author ID:","6504548549"

"Co-authors:","31"

"Co-author","Co-authored documents"

"Yadav,Devinder","15"
"Surappa,MirleK.","8"
"ShyamKumar,C.N.","6"
"Babu,A.S.","4"
"JanakiRam,G.DJanaki","3"
"Reddy,G.Srinivas","2"
"Paul,Soumalya","2"
"VijayaLakshmi,V.","2"
"Janardhanan,VinodM.","2"
"Jayanti,Sreenivas","2"
"Appari,Srinivas","2"
"Chaudhari,RajeshD.","2"
"Srikanth,Ivaturi","1"
"Pancholi,Vivek","1"
"Kauffmann,Alexander","1"
"Priyatham,T.","1"
"Suhas,G.","1"
"Samajdar,IndradevD.","1"
"Subrahmanyam,Challapalli","1"
"SrinivasReddy,G.","1"
"Freudenberger,Jens","1"
"Lakshmi,VellankiVijaya","1"
"Jacob,Johnson","1"
"Ramu,G.","1"
"Krushnamurty,Killi","1"
"Rangababu,B.","1"
"Majee,SwarupK.","1"
"Deutschmann,Olaf","1"
"Babu,A.S.","1"
"Balaji,Bhashyam","1"
"Gandhi,AshutoshS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
