Scopus - Analyze author output

"Author name:","Chakkingal, Uday"
"Scopus author ID:","6602282631"

"Co-authors:","57"

"Co-author","Co-authored documents"

"Venugopal,Palaniswamy","12"
"SampathKumar,T.S.","11"
"Krishnaiah,Arkanti","8"
"Thirugnanam,Arunachalam","6"
"RatnaSunil,B.","6"
"Sivaraman,A.","5"
"Balasubramanian,KrishnamurtyR.","5"
"Govindaraju,MadhusudhanG.","5"
"Singh,AshokKumar","5"
"Manda,Premkumar","5"
"PrasannaKumar,T.SS","4"
"Doble,Mukesh","4"
"Kim,Hyoungseop","3"
"Thomson,PeterFrederic","3"
"Nandakumar,Venkatesan","3"
"Venkatesh,ChV.","2"
"Patil,BasavarajV.","2"
"GaneshSundaraRaman,S.GaneshSundara","2"
"Niranjan,GaneshGanesh","2"
"PatilBasavaraj,V.","2"
"Nagarajan,Devarajan","2"
"PreethamKumar,G.V.","2"
"Sunil,B.Ratna","2"
"Ravindran,Ravi","2"
"Suriadi,AriefB.","2"
"PrasadRao,Kalvala","2"
"Nagasekhar,AnumalasettyVenkata","2"
"Rao,Kalvalaprasad","2"
"Yoon,Seungchae","2"
"Chakravarthy,P.Sitarama","2"
"Kumar,ThamdiannanSenthilSampath","2"
"Kumar,PreethamSampath","1"
"Jojibabu,Panta","1"
"Aravind,U.","1"
"Baker,Gil","1"
"Raghu,ThatikondaS.","1"
"Prasad,RaoK.","1"
"Raghunath,M.","1"
"Kumaran,K.","1"
"Venkatesan,Nandakumar","1"
"Ganesh,NiranjanG.","1"
"Ghosal,P.","1"
"Misiolek,WojciechZ.","1"
"Wright,RogerN.","1"
"Kumar,ArunAnilNil","1"
"Ganapathy,C.","1"
"VeeraChakravarthi,N.","1"
"Kang,Sooyoung","1"
"Singh,VajinderB.","1"
"Gopalakrishnan,C.K.","1"
"Khan,ZubearAhmed","1"
"Kraft,FrankF.","1"
"Jain,Ekta","1"
"Arun,M.S.","1"
"Rao,Maddelasudhakara","1"
"DeviPrasad,V.","1"
"Jeong,Hyeokjae","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
