Scopus - Analyze author output

"Author name:","Gandham, Phanikumar"
"Scopus author ID:","6603383942"

"Co-authors:","74"

"Co-author","Co-authored documents"

"Chattopadhyay,Kamanio","19"
"Dutta,Pradip","14"
"KhalidRafi,H.Khalid","9"
"Herlach,DieterM.","9"
"PrasadRao,K.","7"
"Biswas,Krishanu","6"
"Prasad,R.VS","6"
"Funke,Oliver","6"
"JanakiRam,G.DJanaki","5"
"Nath,Hrusikesh","4"
"Rao,Kalvalaprasad","4"
"Galenko,PeterK.","4"
"Kolbe,Matthias","3"
"ManivelRaja,Muthuvel","3"
"Kala,ShirishR.","3"
"Holland-Moritz,Dirk","3"
"Galun,Rolf","3"
"Samal,SumantaS.","2"
"Nair,BijuS.","2"
"GeraldTennyson,P.","2"
"Sarkar,SandipC.","2"
"Prasad,NareshSiva","2"
"Rahul,M.R.","2"
"Mazumder,Jyoti","2"
"Chernova,L.A.","2"
"Bysakh,Sandip","2"
"Sinha,PreetishPP","2"
"Srinivas,M.","2"
"Reutzel,Sven","2"
"Singh,ShaileshKumar","1"
"Murty,BudarajuSrinivasa","1"
"SubramanyaSarma,Vadlamani","1"
"Babu,N.Kishore","1"
"Akhtar,Dilshad","1"
"ArunKumar,S.L.","1"
"PrasannaKumar,T.SS","1"
"Lakshmi,Hamsa","1"
"Chakraborty,Suman","1"
"Singer,HyamM.","1"
"Schenk,Thomas","1"
"Manjini,Sambandam","1"
"Kumar,PrashantR.","1"
"Balasubramaniam,KrishnanS.","1"
"Chakraborty,Saikat","1"
"Lierfeld,Thomas","1"
"Mitra,ShantanuK.","1"
"Ramakrishnan,R.","1"
"Karthik,G.M.","1"
"Manivannan,Sellaperumal","1"
"Raj,P.Mohan","1"
"Pardeshi,Ravindra","1"
"Sundarraj,Suresh","1"
"SreenivasRao,K.V.","1"
"Eggeler,GuntherF.","1"
"Majumdar,BhaskarS.","1"
"Samal,Sumanta","1"
"Rakesh,S.","1"
"Sankarasubramanian,Ramachandran","1"
"Volkmann,Thomas","1"
"Ravi,K.R.","1"
"Pant,Bhanu","1"
"Kumar,KeshavSuresh","1"
"MohanRaj,P.","1"
"Mordike,BarryLeslie","1"
"Sandhya,ShenoyU.","1"
"Tennyson,P.Gerald","1"
"SivaPrasad,N.","1"
"Kottada,RaviSankar","1"
"Balachandar,K.","1"
"Gupta,AmreshK.","1"
"Majumder,J.","1"
"Sankar,MamillaRavi","1"
"Prasad,VishnuVSatya","1"
"Weisheit,Andreas","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
