Scopus - Analyze author output

"Author name:","Haridoss, Prathap"
"Scopus author ID:","8324851500"

"Co-authors:","52"

"Co-author","Co-authored documents"

"Jagannatham,M.","7"
"Vijayan,C.","6"
"Radhakrishnan,Vijay","5"
"Deshpande,AbhijitP.","4"
"JosephBerkmans,A.","4"
"Babu,KothandapaniSuresh","4"
"Schneider,JörgJ.","4"
"Joshi,RaviK.","3"
"Seshadri,S.Krishnamoorthy","3"
"Engstler,Jörg","2"
"Ebenezer,D.","2"
"Wasekar,NitinP.","2"
"Schierholz,Roland","2"
"JohnFelixKumar,R.","2"
"Nair,PradeepaKesavanK","2"
"Sundararajan,Govindan","2"
"Bakshi,SrinivasaRao","2"
"Debalina,B.","1"
"Sankaran,S.","1"
"Vaishnavi,T.S.","1"
"Jojibabu,Panta","1"
"Zawodzinski,ThomasA.","1"
"RohitReddy,D.","1"
"Maneesh,K.","1"
"Uribe,FranciscoA.","1"
"Berkmans,A.Joseph","1"
"Shankar,MuthukondaVenkatakrishnan","1"
"Jain,GauravPankaj","1"
"Kumar,KunalSuresh","1"
"Garzón,FernandoHenry","1"
"Varughese,Susy","1"
"Joshia,Ravi","1"
"Paladugu,MohanChand","1"
"Jayanti,Sreenivas","1"
"Murugan,R.Vetri","1"
"JanakiRam,G.DJanaki","1"
"Ramakrishnan,SwaminathanS.","1"
"Karthiselva,N.S.","1"
"Suresh,PalaleV.","1"
"Durgakumari,Valluri","1"
"Vijay,R.","1"
"Kumar,T.Ranjith","1"
"SureshBabu,Katragadda","1"
"Bharat,S.","1"
"Vasanthakumar,K.","1"
"Vaishakh,N.","1"
"Vinu,R.","1"
"PraveenKumar,DharaniP.","1"
"Neelima,K.","1"
"Priyanka,S.Selva","1"
"Mamathakumari,M.","1"
"Seshadri,S.K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
