Scopus - Analyze author output

"Author name:","Kottada, Ravi Sankar"
"Scopus author ID:","6507336550"

"Co-authors:","44"

"Co-author","Co-authored documents"

"Murty,BudarajuSrinivasa","9"
"Chokshi,AtulH.","8"
"Praveen,S.","6"
"Chawake,Niraj","6"
"Srivastav,AjeetK.","4"
"Karthik,G.M.","4"
"Kashyap,Sanjay","3"
"Koundinya,N.TBN","3"
"Pant,Bhanu","3"
"Ram,GabbitaDurgaJanaki","3"
"Pinto,LinfordD.","2"
"Tharian,K.Thomas","2"
"KrishnaS,Chenna","2"
"Anupam,Ameey","2"
"Mannava,Venkateswararao","2"
"Kamaraj,Malmurugan","2"
"Sriharitha,R.","2"
"Akkiraju,Karthik","1"
"Samal,SumantaS.","1"
"Panikar,Santhanu","1"
"Basu,JoysuryaK.","1"
"Ang,AndrewSiaoMing","1"
"Jha,AbhayKumar","1"
"Mondal,RajibA.","1"
"Rahul,M.R.","1"
"Satapathy,LakshmiNarayan","1"
"Krishna,ShreeChenna","1"
"JanakiRam,G.DJanaki","1"
"Yadav,Devinder","1"
"Jaswanth,B.","1"
"Jain,Anshul","1"
"Swaminathan,AnandVignesh","1"
"Sundararaman,Mahadevan","1"
"Paleti,SriHarishKumar","1"
"Venkitakrishnan,P.V.","1"
"Sen,Indrani","1"
"Paulose,Neeta","1"
"Sirasani,Teja","1"
"Rao,A.Sambasiva","1"
"Varanasi,RamaSrinivas","1"
"Berndt,ChristopherC.","1"
"Ramamurty,Upadrasta","1"
"Gandham,Phanikumar","1"
"Sesso,MitchellL.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
