Scopus - Analyze author output

"Author name:","Kumar, Ravi Vasanth Ravi"
"Scopus author ID:","56962752700"

"Co-authors:","67"

"Co-author","Co-authored documents"

"Sujith,Ravindran","8"
"Aldinger,Fritz","8"
"Zimmermann,André","7"
"Kousaalya,AdhimoolamBakthavachalam","4"
"Raman,SangeethaGaneshSundara","3"
"Devaraj,SivasitambaramNiranjaliIranjali","3"
"Raghukiran,Nadimpalli","3"
"Cai,Ye","3"
"Venkatesan,RamasamyA.","3"
"Sankaran,SundaramP.","3"
"Rixecker,Georg","3"
"Sridar,Soumya","3"
"Stoica,Mihai","3"
"Doble,Mukesh","3"
"Matović,BrankoŽ","2"
"Awin,EranezhuthWasan","2"
"Ramasamy,Parthiban","2"
"Eckert,Jürgen","2"
"Mager,Reinhard","2"
"Phillipp,Fritz","2"
"Kaban,IvanG.","2"
"Sangeetha,R.","2"
"Adhimoolam,BakthavachalamKousaalya","1"
"Mitrović,SlobodanR.","1"
"Živić,FatimaT.","1"
"Müller,KlausPeter","1"
"Vaughan,GavinBM","1"
"Sridhar,B.TN","1"
"Taghvaei,AmirHossein","1"
"VolkovHusović,TatjanaD.","1"
"Neelakantan,Lakshman","1"
"Pršić,DraganH.","1"
"Kruparatnam","1"
"Wright,JonathanP.","1"
"Dineshram","1"
"Gerstel,Peter","1"
"Keshavamurthy,Ramaiah","1"
"Parthiban,R.","1"
"Prinz,Sabine","1"
"AppaRao,Goudu","1"
"Scudino,Sergio","1"
"Shabadi,Rajashekhar","1"
"Vedaprakash,Loganathan","1"
"Eranezhuth,WasanAwin","1"
"Baldwin,FrancisP.","1"
"Prashanth,K.G.","1"
"Maletaškíc,Jelena","1"
"Berger,FranckGerd","1"
"Maksimovic,VesnaM.","1"
"Bandyopadhyay,Amit","1"
"Mohamed,AslamKunhi","1"
"Urbanovich,VladimirS.","1"
"Swetha,Chidirala","1"
"Ravindran,Sujith","1"
"Eckert,Jürgen","1"
"Perugu,ChandraS.","1"
"Srinivasan,Nedunchezhian","1"
"Das,KakoliB.","1"
"Raman,Sangeetha","1"
"Nicoarǎ,Mircea","1"
"Karunamoorthy,Lakshmi","1"
"Eswarapragada,C.","1"
"Lakshmi,KarunamoorthyVijaya","1"
"Sudagar,Jothi","1"
"Gupta,YogendraM.","1"
"Nedunchezhian,Srinivasan","1"
"Packirisamy,Shanmugam","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
