Scopus - Analyze author output

"Author name:","Sampath Kumar, T. S."
"Scopus author ID:","6701747806"

"Co-authors:","104"

"Co-author","Co-authored documents"

"Chakkingal,Uday","11"
"Siddharthan,A.","7"
"Seshadri,S.Krishnamoorthy","7"
"Murugan,Ramalingam","7"
"RatnaSunil,B.","6"
"Doble,Mukesh","6"
"Madhumathi,K.","5"
"Balu,Rajkamal","5"
"Thirugnanam,Arunachalam","5"
"Latha,BalakrishnanSwarna","4"
"Sivakumar,Marimuthu","4"
"Manjubala,Inderchand","4"
"Ramakrishna,SeeramAnantha","4"
"PandurangaRao,K.","4"
"Das,MitunB.","3"
"BalasivanandhaPrabu,S.","3"
"Balla,VamsiKrishna","3"
"Bandyopadhyay,Amit","3"
"PrasadRao,Kalvala","3"
"Nagarajan,Tharmalingam","2"
"Rajan,N.","2"
"Rameshbabu,Nagumothu","2"
"Manivasagam,Geetha","2"
"Jayasree,R.","2"
"RameshBabu,N.","2"
"Rao,Koritalapanduranga","2"
"Victor,SunitaPremRem","2"
"Basu,DebabrataK.","2"
"Venugopal,JayaramaReddyEddy","2"
"Manna,Indranil","2"
"SivaRamaKrishna,D.","2"
"Nandakumar,Venkatesan","2"
"Krishan,KanwarB.","2"
"Nair,KutiaGM","2"
"Shinyjoy,Elangomannan","1"
"Katakam,Sivaprasad","1"
"KranthiKiran,A.Sandeep","1"
"Ramakrishnan,Seeram","1"
"Venkataraman,Rhama","1"
"AlameluBai,S.","1"
"KamachiMudali,UthandiK.","1"
"Lawrence,FalixT.","1"
"Sekar,M.","1"
"Perumal,Govindaraj","1"
"Basha,RubaiyaYunus","1"
"Subbaraman,T.S.","1"
"Vadgama,PankajM.","1"
"Ravi,NarmadhaDevi","1"
"Ravichandran,K.","1"
"Liao,Susan","1"
"Nankar,RakeshPandeet","1"
"Gunasekaran,J.","1"
"Ramalingam,Murugan","1"
"Rana,Deepti","1"
"Raghunath,M.","1"
"Ngiam,MichelleL.","1"
"Rajkamal,B.","1"
"SornaKumar,T.","1"
"Natarajan,RajamaniN.","1"
"Dittrick,StanleyA.","1"
"Goenka,Sumit","1"
"Sunder,Madhana","1"
"Kumar,NareshPrasanth","1"
"Ravichandran,Duraiswamy","1"
"Venkatesan,Nandakumar","1"
"Padmanabhan,K.A.","1"
"Choon,Awtar","1"
"Sastry,V.Sankara","1"
"Surendiran,M.","1"
"Kattimani,VivekanandSabanna","1"
"Vaidhyanathan,L.S.","1"
"Natarajan,SubramanianR.","1"
"Ramalingam,Murugan","1"
"Baskar,D.","1"
"Shantha,K.L.","1"
"Mandal,Chitra","1"
"Lingamaneni,KrishnaPrasad","1"
"Böse,Susmita","1"
"Sunil,B.Ratna","1"
"Bysakh,Sandip","1"
"Kumar,ArunAnilNil","1"
"Ganapathy,C.","1"
"VeeraChakravarthi,N.","1"
"RamKumar,K.","1"
"Ponraju,Durairaj","1"
"Selvi,K.Senthamil","1"
"Magudapathy,P.","1"
"SandeepKranthiKiran,A.","1"
"PrasadRao,K.","1"
"RajathiMalar,A.","1"
"Varadarajan,Namitha","1"
"Kavitha,Louis","1"
"Zaheatha,S.","1"
"Rao,G.VenugopalNarasimha","1"
"Chakravarthi,PandiSrinivasRinivas","1"
"Gopi,Dhanaraj","1"
"Hanas,T.","1"
"DeviPrasad,V.","1"
"Bhattacharya,KaushikD.","1"
"Sundaresan,S.","1"
"Chan,CaseyK.","1"
"Ramalingam,Krishnamurthy","1"
"Low,Sharon","1"
"Mallika,Chellanadar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
