Scopus - Analyze author output

"Author name:","Sampath, V."
"Scopus author ID:","10639093200"

"Co-authors:","47"

"Co-author","Co-authored documents"

"Mallik,U.S.","5"
"Raju,T.N.","4"
"Koledov,VictorV.","3"
"Shavrov,VladimirG.","3"
"Kuchin,DmitryS.","2"
"Lega,PeterV.","2"
"Gurǎu,GheorgheH.","2"
"Depka,Timo","2"
"Eggeler,GuntherF.","2"
"Frenzel,Jan","2"
"Großmann,CristianH.","2"
"Gurǎu,Carmela","2"
"Dwarakadasa,EshwarahalliS.","2"
"ManzarMalik,M.","1"
"Deepkumar,V.P.","1"
"Gupta,GauravK.","1"
"Kamantsev,AlexanderP.","1"
"Batdalov,AkhmedB.","1"
"Bogun,PavelV.","1"
"Dwarakadasa,EswarahalliS.","1"
"Khanov,L.N.","1"
"Muşat,Viorica","1"
"Murugaiyan,A.","1"
"Sivakumar,MohandassS.","1"
"Palaninathan,R.","1"
"Oppenkowski,André","1"
"Mashirov,AlexeyV.","1"
"Dasgupta,Rupa","1"
"Vizza,C.","1"
"Zhikharev,AlexeyM.","1"
"Grechishkin,RostislavM.","1"
"Somsen,Christoph","1"
"Hussain,Shahadat","1"
"Kehl,J.","1"
"Kaul’,AndreyR.","1"
"Ramanan,N.","1"
"Varadan,R.","1"
"Modi,OmPrakash","1"
"Angappan,M.","1"
"Neuking,Klaus","1"
"Jain,AshishKumar","1"
"Shafeeq,MuhamedMuhamed","1"
"Ashok,B.","1"
"Aliev,A.M.","1"
"Sampath,KrishnaswamyVK","1"
"Pandey,AbhishekS.","1"
"Theisen,Werner","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
