Scopus - Analyze author output

"Author name:","Sankaran, Sundaram P."
"Scopus author ID:","8286852100"

"Co-authors:","70"

"Co-author","Co-authored documents"

"Sandhya,Reddigari","12"
"PrasadReddy,G.V.","12"
"Kishore","12"
"Padmanabhan,KuppuswamyAnantha","11"
"SubramanyaSarma,Vadlamani","10"
"Karthikeyan,ChedarampetS.","9"
"Sangal,Sandeep","6"
"Shankar,RaviT.","5"
"Kishore,A.","5"
"Mathew,ManojD.","5"
"BhanuSankaraRao,Kota","5"
"Murty,BudarajuSrinivasa","4"
"Gupta,Nikhil","4"
"Gouthama","4"
"Sekhar,K.Ravi","3"
"Kumar,RaviVasanthRavi","3"
"Devaraj,SivasitambaramNiranjaliIranjali","3"
"Sivaraman,V.","3"
"Vijayaraghavan,L.","3"
"Nandam,SreeHarsha","3"
"Mahesh,KrVishnuVishnu","2"
"Laha,Kinkar","2"
"Suwas,Satyam","2"
"Mondi,PapaRao","2"
"Charbhai,Nikhil","2"
"JagdishKumar,M.N.","2"
"Woldesenbet,Eyassu","2"
"Kumar,ManojNJagdish","2"
"PapaRao,M.","2"
"Dasgupta,Samudra","2"
"Mariappan,K.","2"
"Kannan,RangasayeeKamala","2"
"Valsan,M.","1"
"Nagar,C.VR","1"
"Maheswari,N.","1"
"Raju,Govinda","1"
"Venugopal,P.","1"
"Déprés,ChristopheJ.","1"
"Selvi,Srinivasan","1"
"Murthy,ChandraRL","1"
"Rao,M.Papa","1"
"Atturan,U.Athul","1"
"Parameswaran,Padmanaban","1"
"Srivatsavan,R.","1"
"Koethe,Alfred","1"
"Jaeger,Gerd","1"
"Malakondaiah,Guntupalli","1"
"Hockauf,Matthias","1"
"Scheerbaum,Nils","1"
"HariKumar,K.C.","1"
"Chowdhury,SandipGhosh","1"
"Engler,Olaf","1"
"Mukhopadhyay,NilayKrishna","1"
"Pathak,PiyushM.","1"
"AppaRao,Goudu","1"
"Madhavan,RajRaja","1"
"Kaushik,Vishakha","1"
"Skrotzki,Werner","1"
"Venugopal,Palaniswamy","1"
"Jupp,SimonP.","1"
"Tabourot,Laurent","1"
"Beausir,Benoît","1"
"Chekhonin,Paul","1"
"RaviSekhar,K.","1"
"Panigrahi,Ajit","1"
"Ravishankar,BorgaonkarN.","1"
"Nagesha,A.","1"
"Hore,Kis","1"
"Scharnweber,Juliane","1"
"SubramanyaSarma,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
